dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.344656,6230799610.620228,0.160493,0.223728
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.345296,6219259471.363586,0.160791,0.222516
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.337711,6358944197.408573,0.157259,0.225369
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.337647,6360144831.466621,0.157229,0.294525
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.343921,6244118066.042599,0.160151,0.293796
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.337683,6359470029.675406,0.157246,0.236937
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.338360,6346736051.580034,0.157561,0.236930
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.344609,6231659839.141491,0.160471,0.282182
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.338041,6352739055.089170,0.157412,0.232150
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.343934,6243892014.824118,0.160157,0.227994
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.343911,6244298143.063621,0.160146,0.293501
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.343938,6243803925.766527,0.160159,0.294054
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.337687,6359398764.252329,0.157248,0.227655
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.344618,6231483249.449655,0.160475,0.226156
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.344614,6231560506.208337,0.160473,0.224000
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,1,67108864,-1,0.343908,6244363527.444543,0.160144,0.221804
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.505423,4248886431.806028,0.235356,0.231293
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.502634,4272461510.437360,0.234057,0.231625
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.511811,4195853572.273123,0.238331,0.230893
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.497734,4314524066.618127,0.231775,0.230705
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.506798,4237352849.329761,0.235996,0.231571
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.498930,4304180406.770596,0.232332,0.226222
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.515036,4169576643.700740,0.239833,0.233082
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.499138,4302381972.353233,0.232429,0.245080
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.501972,4278091239.183613,0.233749,0.235396
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.500478,4290867872.488766,0.233053,0.228428
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.504884,4253415754.339791,0.235105,0.229735
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.500647,4289413364.413533,0.233132,0.230283
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.508990,4219105290.149997,0.237017,0.234489
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.511127,4201465205.949147,0.238012,0.231678
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.502002,4277835587.975742,0.233763,0.301195
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,1,67108864,-1,0.501350,4283404665.498231,0.233459,0.233187
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.524351,4095509198.831703,0.244170,0.250917
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.529956,4052195196.733586,0.246780,0.332139
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.527184,4073500539.380229,0.245489,0.256023
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.520724,4124030945.474497,0.242481,0.244945
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.521029,4121617362.625278,0.242623,0.259583
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.521379,4118853622.312469,0.242786,0.245950
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.527406,4071784591.267234,0.245593,0.250635
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.528789,4061133833.032191,0.246237,0.255455
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.528124,4066252505.419302,0.245927,0.256670
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.523310,4103651094.538215,0.243685,0.332303
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.521269,4119725575.695468,0.242735,0.253718
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.522540,4109703065.743925,0.243327,0.339427
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.525602,4085757271.939550,0.244753,0.250622
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.528640,4062282135.676526,0.246167,0.253342
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.528957,4059844232.221927,0.246315,0.256281
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,8,1,67108864,-1,0.528847,4060689971.703578,0.246264,0.258202
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.547893,3919529742.596652,0.255133,0.280149
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.550298,3902399787.317025,0.256253,0.286694
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.547583,3921748227.945861,0.254988,0.284029
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.556019,3862248380.080564,0.258917,0.282049
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.547087,3925305310.065271,0.254757,0.352171
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.551569,3893407811.103553,0.256844,0.349262
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.555746,3864149104.764625,0.258789,0.280059
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.548655,3914085495.880375,0.255488,0.285508
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.534246,4019655717.664671,0.248778,0.277654
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.552258,3888550194.064277,0.257165,0.277794
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.552721,3885292339.519103,0.257381,0.344288
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.552145,3889348421.514511,0.257112,0.279245
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.532936,4029536345.821816,0.248168,0.286957
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.549019,3911493836.975677,0.255657,0.349182
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.548276,3916793518.660512,0.255311,0.292985
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16,1,67108864,-1,0.550029,3904306452.949132,0.256127,0.346741
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.543126,3953932863.958458,0.252913,0.315154
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.543180,3953540556.659904,0.252938,0.320832
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.554632,3871909648.565189,0.258270,0.330700
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.542971,3955058680.452871,0.252841,0.323111
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.547137,3924948873.667602,0.254780,0.328022
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.545999,3933126389.790792,0.254251,0.326206
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.543736,3949500282.911172,0.253197,0.391376
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.555029,3869136516.572648,0.258456,0.397637
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.534099,4020762760.802228,0.248709,0.317162
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.542067,3961657105.542861,0.252420,0.321080
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.542389,3959306369.002236,0.252569,0.335856
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.543716,3949644816.233785,0.253187,0.428457
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.544968,3940566890.519948,0.253771,0.345580
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.543901,3948297874.382075,0.253274,0.396317
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.546249,3931324572.064248,0.254367,0.316240
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,32,1,67108864,-1,0.547372,3923263465.121583,0.254890,0.314402
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,64,1,67108864,-1,0.559409,3838846116.076951,0.260495,0.409746
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,64,1,67108864,-1,0.696474,3083364597.420461,0.324321,0.358135
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,64,1,67108864,-1,0.567322,3785296444.386349,0.264180,0.342893
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,64,1,67108864,-1,0.564484,3804329118.221326,0.262858,0.344806
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,64,1,67108864,-1,0.554890,3870108129.443540,0.258391,0.437844
