dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028651,74953065745.915146,0.013342,0.300751
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028614,75051027693.399826,0.013324,0.290532
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028637,74988799423.335754,0.013335,0.293485
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028634,74997306041.298538,0.013334,0.295701
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028642,74976554880.799927,0.013338,0.286192
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028621,75031791840.015335,0.013328,0.313625
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028631,75006369235.929199,0.013332,0.308807
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028634,74996471777.912369,0.013334,0.303932
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028638,74986841625.940781,0.013336,0.303774
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028648,74961723966.835999,0.013340,0.304592
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028656,74940428833.319000,0.013344,0.319550
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028619,75037507549.745850,0.013327,0.303866
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028629,75011371418.554764,0.013331,0.303999
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028619,75035707232.267426,0.013327,0.306972
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028859,74411964792.121948,0.013439,0.319253
NVIDIA GeForce RTX 3090 Ti,LCA,32,1,0,67108864,-1,0.028625,75021192828.577332,0.013330,0.304843
