dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.085974,24978183340.782135,0.040035,0.151033
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081745,26270629336.967060,0.038065,0.186010
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081763,26264846599.254349,0.038074,0.150413
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081746,26270315498.666676,0.038066,0.149541
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081751,26268491461.995865,0.038068,0.171222
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081750,26268768483.509262,0.038068,0.170712
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081751,26268496364.980709,0.038068,0.158177
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081799,26253065932.173584,0.038091,0.150053
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081748,26269408351.993210,0.038067,0.153168
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081762,26264910320.513206,0.038074,0.209594
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.082007,26186581017.986244,0.038187,0.147678
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081753,26268077166.388020,0.038069,0.152458
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081759,26265961765.925304,0.038072,0.183435
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081754,26267731521.472301,0.038070,0.150243
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081750,26268795450.517323,0.038068,0.148229
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.081748,26269457385.346813,0.038067,0.153088
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083398,25749733945.526100,0.038835,0.153278
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083399,25749663277.043987,0.038835,0.167805
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083416,25744310089.534687,0.038844,0.166823
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083404,25747828387.922455,0.038838,0.151455
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083400,25749317007.088509,0.038836,0.156203
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083401,25748982523.865757,0.038836,0.149521
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083395,25750688008.000896,0.038834,0.152136
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083407,25747157152.359703,0.038839,0.149732
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083399,25749637365.364403,0.038835,0.153018
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083399,25749665632.653805,0.038835,0.151625
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083403,25748184039.194141,0.038838,0.173797
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083399,25749646787.787304,0.038835,0.154971
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083400,25749288740.564514,0.038836,0.151826
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083397,25750216857.202217,0.038835,0.147498
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083396,25750346421.953136,0.038834,0.172444
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.083399,25749427718.238346,0.038836,0.178386
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085141,25222768812.876568,0.039647,0.150844
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084314,25470158645.748093,0.039262,0.153188
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084383,25449315439.411411,0.039294,0.156854
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.083307,25777822371.685871,0.038793,0.156505
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.083972,25573831647.686832,0.039102,0.157836
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086488,24829930878.499832,0.040274,0.189035
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084012,25561713114.929050,0.039121,0.152817
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.083299,25780518646.710739,0.038789,0.154942
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085095,25236310120.826416,0.039625,0.173517
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084520,25407953668.260334,0.039358,0.156996
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084525,25406405647.082951,0.039360,0.156945
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084526,25406297865.966118,0.039360,0.180750
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085267,25185345881.969101,0.039706,0.153077
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085228,25196810105.567101,0.039688,0.158888
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.084111,25531601291.247952,0.039167,0.154531
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.083412,25745511006.992882,0.038842,0.159059
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.085184,25209928410.036037,0.039667,0.159610
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084977,25271223089.649441,0.039571,0.160452
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084512,25410511183.122524,0.039354,0.164048
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.087267,24608274160.602364,0.040637,0.160182
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.085052,25249166094.420002,0.039605,0.158348
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.086109,24939219244.498287,0.040097,0.159981
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.083958,25578021692.695503,0.039096,0.161184
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084607,25381971923.569576,0.039398,0.162406
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084601,25383647447.657558,0.039395,0.159460
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084370,25453087300.877987,0.039288,0.160142
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084649,25369279920.737701,0.039418,0.159229
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.085803,25028178250.851944,0.039955,0.159510
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084655,25367475978.573708,0.039421,0.158478
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084405,25442543163.578007,0.039304,0.158407
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084360,25456059090.679016,0.039283,0.180460
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.084474,25421779551.870007,0.039336,0.158889
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084127,25526680991.656521,0.039175,0.175971
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084308,25471746716.355259,0.039259,0.180679
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084245,25490989851.117210,0.039230,0.208412
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.085808,25026589377.331646,0.039958,0.177664
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084095,25536379848.785427,0.039160,0.176121
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084618,25378438483.251129,0.039404,0.175621
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084397,25445119148.043011,0.039300,0.179297
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.085616,25082646577.496628,0.039868,0.179489
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084945,25280837748.576378,0.039556,0.180279
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.086600,24797770232.123890,0.040326,0.175510
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.086619,24792180926.490505,0.040335,0.177553
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084257,25487195209.489502,0.039235,0.177774
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.085025,25257050503.037395,0.039593,0.190939
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.084224,25497429939.529575,0.039220,0.177444
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.085150,25219921289.885269,0.039651,0.176342
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,16,16,67108864,-1,0.086237,24902147685.841255,0.040157,0.178977
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,32,32,67108864,-1,0.088786,24187215959.538540,0.041344,0.207750
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,32,32,67108864,-1,0.090453,23741522233.458195,0.042120,0.215385
