dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043248,24827797672.123623,0.040277,0.152208
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.040545,26482956463.573666,0.037760,0.147158
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.040544,26483170750.219292,0.037760,0.144372
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.040545,26483021247.542671,0.037760,0.143882
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.040543,26484219808.142735,0.037758,0.146716
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.040543,26483918288.922424,0.037759,0.142840
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043245,24828993449.031380,0.040275,0.147357
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043250,24826337053.321571,0.040280,0.152369
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043248,24827423194.249123,0.040278,0.152117
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043248,24827429763.939041,0.040278,0.153679
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043249,24826991792.221500,0.040279,0.153859
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043250,24826658944.050465,0.040279,0.148361
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043248,24827451662.930546,0.040278,0.153811
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043248,24827762632.779125,0.040277,0.147798
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043246,24828636455.952862,0.040276,0.153629
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,1,1,67108864,1,0.043248,24827436333.632439,0.040278,0.153269
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043248,24827359687.425831,0.040278,0.155914
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043248,24827423194.249123,0.040278,0.154581
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043246,24828470008.701412,0.040276,0.154983
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043249,24826866973.111481,0.040279,0.148510
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043246,24828925553.851669,0.040276,0.150103
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043250,24826354570.969601,0.040280,0.152908
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043249,24827193257.292389,0.040278,0.152909
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043246,24828901462.102966,0.040276,0.157347
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043246,24828745961.940632,0.040276,0.153750
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043249,24826739965.480793,0.040279,0.151687
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043248,24827348738.006374,0.040278,0.154501
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043245,24829339501.200470,0.040275,0.153029
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043250,24826398365.197830,0.040280,0.154802
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043251,24825802776.931843,0.040281,0.149352
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043248,24827539259.282883,0.040278,0.155814
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,2,0.043246,24828816046.279736,0.040276,0.153581
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044459,24151088977.231518,0.041406,0.154832
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150197960.053993,0.041408,0.158779
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044460,24150577152.351437,0.041407,0.155604
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150023908.560482,0.041408,0.151316
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044462,24149630229.913422,0.041409,0.153018
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044460,24150616522.725864,0.041407,0.150584
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044459,24151149071.454288,0.041406,0.148510
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044464,24148728961.340412,0.041410,0.154642
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044462,24149441683.107132,0.041409,0.153951
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150191743.886028,0.041408,0.148009
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24149978324.060089,0.041408,0.151435
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150278770.528790,0.041407,0.152707
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150158591.044239,0.041408,0.153980
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150071565.267616,0.041408,0.154151
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044464,24148461701.523701,0.041411,0.151536
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,2,2,67108864,1,0.044461,24150007332.358612,0.041408,0.154821
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043541,24660208771.882164,0.040551,0.162767
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043538,24662071261.117188,0.040548,0.157568
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043542,24659964638.116447,0.040552,0.164290
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043542,24660040254.252811,0.040551,0.163318
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043540,24660954165.943291,0.040550,0.157407
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043539,24661453281.067081,0.040549,0.158189
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043541,24660368649.710857,0.040551,0.162266
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043545,24658206153.628410,0.040554,0.186801
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043542,24660159080.546890,0.040551,0.160634
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043540,24661163748.621262,0.040550,0.159130
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043542,24659647055.407574,0.040552,0.158369
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043542,24659824209.379204,0.040552,0.156134
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043539,24661554835.102566,0.040549,0.153399
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043541,24660470194.813660,0.040551,0.155723
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043541,24660606309.773865,0.040551,0.164812
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,4,0.043542,24660165562.014046,0.040551,0.163518
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044184,24301798770.181328,0.041149,0.153871
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044181,24303292746.592724,0.041147,0.153780
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044424,24170463087.189968,0.041373,0.168889
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044186,24300432949.676624,0.041152,0.160333
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044186,24300575608.846642,0.041151,0.156194
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044390,24188978582.700275,0.041341,0.156485
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.045183,23764336843.506161,0.042080,0.155824
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044421,24172179676.891506,0.041370,0.157397
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044181,24302977989.098690,0.041147,0.153359
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044177,24305576031.678291,0.041143,0.155824
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044421,24171897367.275127,0.041370,0.148380
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044901,23913717474.508682,0.041817,0.185170
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.045196,23757412862.947296,0.042092,0.162287
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.045181,23765452439.088840,0.042078,0.185299
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044185,24301272145.318466,0.041150,0.175591
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,16,4,4,67108864,2,0.044191,24297974440.113331,0.041156,0.159040
