dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.592525,1812145391.239927,0.551832,0.019607
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.592788,1811341961.870584,0.552077,0.018935
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.592865,1811107001.134813,0.552148,0.019707
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.592541,1812097419.232215,0.551847,0.018935
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.592688,1811646569.165302,0.551984,0.028303
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.593344,1809646019.455135,0.552594,0.019056
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.593328,1809692372.463505,0.552580,0.016741
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.593817,1808202632.947895,0.553035,0.019316
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.593540,1809046250.753864,0.552777,0.017553
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.593518,1809115269.968007,0.552756,0.019497
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.593684,1808608817.472671,0.552911,0.021481
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.595972,1801664006.777266,0.555042,0.018194
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.597508,1797032297.147875,0.556473,0.015840
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.594656,1805650547.130963,0.553817,0.018875
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.594477,1806197067.693480,0.553649,0.019977
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.595417,1803343350.545759,0.554526,0.018875
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.639538,1678934155.729040,0.595616,0.014618
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,1.174161,914475700.134987,1.093523,0.015469
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.958345,1120412574.219128,0.892528,0.017903
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.633922,1693807811.885337,0.590386,0.016962
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.641469,1673879220.160174,0.597415,0.015288
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.636392,1687234272.707385,0.592686,0.015770
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.634680,1691783277.123806,0.591092,0.015729
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.696077,1542562331.364348,0.648272,0.014928
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.696893,1540754688.945132,0.649033,0.014276
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.707973,1516641633.356797,0.659352,0.019347
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.696528,1541563415.877725,0.648692,0.015589
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.636423,1687152395.992499,0.592715,0.020548
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.635765,1688896500.829703,0.592103,0.015018
