dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.562066,1910347327.748153,0.523465,0.015188
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.562495,1908892995.310935,0.523864,0.018675
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561477,1912352943.702716,0.522916,0.014206
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.563036,1907055449.979457,0.524369,0.019427
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561197,1913305308.117095,0.522656,0.015739
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.562055,1910384668.740499,0.523455,0.018745
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.562082,1910293185.902072,0.523480,0.019276
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.587294,1828287085.470374,0.546960,0.019036
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561855,1911065983.158855,0.523268,0.018595
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.560923,1914241958.018132,0.522400,0.018705
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.575447,1865927252.136799,0.535927,0.018705
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561699,1911596345.840111,0.523123,0.020990
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.560902,1914312363.508317,0.522381,0.018995
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561772,1911348571.275099,0.523191,0.018264
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561883,1910970491.005814,0.523294,0.018645
CPU logen,[CPU] HRMQ,16,1,0,67108864,1,0.561069,1913744059.935498,0.522536,0.018295
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.647248,1658933268.192790,0.602797,0.019587
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.647452,1658411091.215416,0.602987,0.016270
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.651907,1647078577.177342,0.607136,0.014888
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.676414,1587404024.919598,0.629959,0.018445
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.593020,1810632230.890632,0.552293,0.018505
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.697847,1538649235.976373,0.649921,0.015349
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.647616,1657992679.954532,0.603139,0.014146
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.655653,1637668551.791651,0.610624,0.018365
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.593824,1808182003.271796,0.553042,0.018836
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.598661,1793571415.840620,0.557547,0.017202
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.647341,1658694580.477941,0.602884,0.018394
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.606604,1770085513.425622,0.564944,0.017944
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.651645,1647741324.246250,0.606891,0.015949
CPU logen,[CPU] HRMQ,16,2,0,67108864,2,0.594122,1807274763.307861,0.553319,0.017733
