dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019348,110990375198.821945,0.009010,0.381593
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019286,111352188620.339844,0.008981,0.378296
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019359,110931377999.822464,0.009015,0.375211
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.025653,83711387057.621017,0.011946,0.377114
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019356,110947632874.816483,0.009013,0.371895
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019325,111123351356.059708,0.008999,0.368508
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019356,110945621253.417007,0.009013,0.395830
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019264,111478096997.004578,0.008970,0.369420
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019346,111002444818.709686,0.009009,0.378958
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019325,111125369427.741699,0.008999,0.373298
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019275,111413651923.162079,0.008976,0.368668
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019357,110940909534.487015,0.009014,0.387374
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019303,111248731478.070190,0.008989,0.368919
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019241,111607188939.182861,0.008960,0.358489
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019354,110957506183.043137,0.009012,0.382375
NVIDIA A100-SXM4-40GB,LCA,32,1,0,67108864,-1,0.019307,111228245520.010025,0.008991,0.367236
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019348,110990375198.821945,0.009010,0.381593
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019286,111352188620.339844,0.008981,0.378296
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019359,110931377999.822464,0.009015,0.375211
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.025653,83711387057.621017,0.011946,0.377114
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019356,110947632874.816483,0.009013,0.371895
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019325,111123351356.059708,0.008999,0.368508
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019356,110945621253.417007,0.009013,0.395830
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019264,111478096997.004578,0.008970,0.369420
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019346,111002444818.709686,0.009009,0.378958
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019325,111125369427.741699,0.008999,0.373298
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019275,111413651923.162079,0.008976,0.368668
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019357,110940909534.487015,0.009014,0.387374
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019303,111248731478.070190,0.008989,0.368919
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019241,111607188939.182861,0.008960,0.358489
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019354,110957506183.043137,0.009012,0.382375
NVIDIA A100-SXM4-40GB,LCA,32,2,0,67108864,-1,0.019307,111228245520.010025,0.008991,0.367236
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.019357,110943380130.700562,0.009014,0.390640
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.019304,111247401420.222458,0.008989,0.377526
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.021819,98423863670.884689,0.010160,0.390600
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.022369,96004289611.056305,0.010416,0.383487
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.021358,100548188774.361679,0.009945,0.382314
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.021800,98510530700.712219,0.010151,0.382235
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.020289,105844300552.584946,0.009448,0.380431
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.020104,106818461051.496765,0.009362,0.369550
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.019251,111549689435.555359,0.008965,0.358359
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.020042,107148028057.637436,0.009333,0.371132
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.019355,110955034957.650940,0.009013,0.387404
NVIDIA A100-SXM4-40GB,LCA,32,4,0,67108864,-1,0.021699,98968578976.046860,0.010104,0.392794
