dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185355,11585791614.148220,0.086313,0.283406
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185199,11595574056.275543,0.086240,0.283056
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185160,11598006000.293375,0.086222,0.284259
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185178,11596866825.260098,0.086230,0.288707
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185174,11597108594.540989,0.086228,0.316339
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185199,11595543484.297085,0.086240,0.286323
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185177,11596943272.954760,0.086230,0.292534
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185211,11594768729.529440,0.086246,0.279789
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185119,11600587174.217321,0.086203,0.281713
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185131,11599775414.592060,0.086209,0.291153
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185176,11596992964.496780,0.086229,0.288967
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185215,11594570042.151800,0.086247,0.274530
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185148,11598769716.907005,0.086216,0.287075
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185203,11595265477.766420,0.086242,0.301451
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185145,11598911192.351933,0.086215,0.284701
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185153,11598444718.820713,0.086218,0.288707
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528300,4064890616.714699,0.246009,0.286694
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466826,4600180152.052755,0.217383,0.293177
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528064,4066709334.704300,0.245899,0.289898
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466817,4600266461.815767,0.217379,0.292164
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466803,4600406308.550580,0.217372,0.280993
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528022,4067034159.515892,0.245879,0.287134
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466575,4602651335.231854,0.217266,0.290350
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528075,4066628019.102685,0.245904,0.291162
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528046,4066852702.500688,0.245890,0.298756
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528047,4066843301.024016,0.245891,0.292454
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466560,4602799756.889344,0.217259,0.285872
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466550,4602899412.500997,0.217254,0.290129
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528060,4066738477.503375,0.245897,0.283568
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528064,4066707924.579454,0.245899,0.299047
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.528042,4066876676.462946,0.245889,0.290591
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466582,4602587212.811550,0.217269,0.298346
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.077516,1992994463.405737,0.501758,0.362307
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.080289,1987878054.645503,0.503049,0.320467
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.073987,1999543770.179471,0.500114,0.326598
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,0.937001,2291869316.681934,0.436325,0.313885
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,0.895635,2397721540.464735,0.417063,0.313074
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.072334,2002625976.376959,0.499344,0.319376
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.091976,1966602546.072309,0.508491,0.311209
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.068425,2009952546.840242,0.497524,0.321990
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,0.896655,2394994259.591652,0.417538,0.294858
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,0.984581,2181114262.660933,0.458481,0.316540
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.060748,2024499970.299822,0.493949,0.312632
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.092614,1965454315.391974,0.508788,0.308846
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,0.903679,2376379112.266718,0.420808,0.310839
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.091453,1967545246.454022,0.508248,0.312773
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.054693,2036121096.583596,0.491130,0.320708
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,1,67108864,-1,1.092221,1966161858.876850,0.508605,0.316039
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.204350,1783106525.948426,0.560819,0.337700
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.399570,1534388494.337554,0.651725,0.338211
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.270497,1690270769.483595,0.591621,0.330998
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.265685,1696696525.176417,0.589381,0.341927
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.263073,1700205656.256883,0.588164,0.333101
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.280668,1676847016.151873,0.596357,0.337550
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.112305,1930661118.717612,0.517957,0.329464
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.363659,1574794851.787251,0.635003,0.351827
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.249857,1718182898.636876,0.582010,0.335766
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.273316,1686528064.300599,0.592934,0.347719
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.339290,1603449279.368369,0.623656,0.340555
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.244665,1725351337.958544,0.579592,0.346497
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.275090,1684181900.866762,0.593760,0.336357
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.371309,1566009517.948521,0.638566,0.343932
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.114339,1927137621.214765,0.518904,0.340656
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,8,1,67108864,-1,1.329314,1615482947.745483,0.619010,0.334894
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,16,1,67108864,-1,1.540643,1393888068.645251,0.717418,0.413473
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,16,1,67108864,-1,1.524205,1408920638.564262,0.709763,0.417261
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,16,1,67108864,-1,1.470445,1460431422.454958,0.684729,0.405638
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,16,1,67108864,-1,1.492382,1438963470.117612,0.694945,0.411618
