dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.198906,10796500315.357027,0.092623,0.223836
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.197816,10855946436.921923,0.092115,0.249701
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.197834,10855004459.649845,0.092123,0.294890
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.198503,10818395255.696804,0.092435,0.218182
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.201376,10664030619.008091,0.093773,0.293938
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.198978,10792543606.927841,0.092657,0.290758
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.199761,10750258972.916258,0.093021,0.227685
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.203511,10552196090.753805,0.094767,0.302473
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.197825,10855454913.718111,0.092120,0.222738
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.210637,10195163893.793966,0.098086,0.271713
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.217751,9862096942.858521,0.101398,0.273345
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.207295,10359556666.905012,0.096529,0.424728
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.197819,10855781474.427792,0.092117,0.221901
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.211947,10132191560.392403,0.098695,0.293373
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.197832,10855114139.260473,0.092122,0.218709
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.204382,10507210666.937428,0.095173,0.272519
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.200196,10726923905.188887,0.093223,0.284847
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.196477,10929960902.234749,0.091492,0.222114
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198401,10823946556.046841,0.092388,0.222863
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.197429,10877225844.833921,0.091935,0.237429
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198544,10816135431.693472,0.092454,0.294838
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198636,10811169299.858517,0.092497,0.227072
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198973,10792834941.627466,0.092654,0.225130
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.200184,10727556764.516628,0.093218,0.227887
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.197166,10891742578.761496,0.091813,0.224254
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198990,10791902229.427790,0.092662,0.225626
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198560,10815315044.924088,0.092461,0.290381
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.198978,10792563470.157732,0.092656,0.219730
