dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202220,10619519631.734987,0.094166,0.220694
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202199,10620633567.893087,0.094156,0.223627
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202155,10622935908.777891,0.094136,0.215505
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202188,10621209861.111883,0.094151,0.222837
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202154,10623022506.530664,0.094135,0.293647
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202174,10621942541.112875,0.094145,0.220569
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202233,10618880225.761091,0.094172,0.237825
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202151,10623140377.962893,0.094134,0.222945
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202147,10623361694.657064,0.094132,0.223671
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202159,10622727438.497091,0.094138,0.221572
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202150,10623198913.727804,0.094134,0.293480
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202158,10622806014.795959,0.094137,0.236315
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202159,10622767528.300247,0.094137,0.297942
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202158,10622786771.513245,0.094137,0.227359
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202157,10622862141.435434,0.094137,0.292786
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,2,2,67108864,-1,0.202163,10622559866.395792,0.094139,0.222862
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.203569,10549190458.885832,0.094794,0.226338
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.200797,10694824001.525906,0.093503,0.224108
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.204726,10489536203.172392,0.095333,0.227620
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.202819,10588162725.024328,0.094445,0.225325
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.203518,10551801306.150076,0.094771,0.226713
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,4,4,67108864,-1,0.203308,10562730096.064320,0.094672,0.225470
