dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097132,22109032331.671566,0.045230,0.161064
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097138,22107525066.048157,0.045233,0.184258
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097141,22106759356.597313,0.045235,0.183276
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097168,22100628648.844204,0.045248,0.181353
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097227,22087405058.728764,0.045275,0.162126
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097126,22110378278.235970,0.045228,0.171624
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097138,22107509438.794456,0.045233,0.166655
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097134,22108518310.163353,0.045231,0.164461
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097124,22110682224.334106,0.045227,0.159442
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097135,22108193585.921886,0.045232,0.161906
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097155,22103693577.615597,0.045241,0.161626
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097110,22113963637.377949,0.045220,0.181843
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097115,22112766651.286335,0.045223,0.164291
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097003,22138212670.841656,0.045171,0.181523
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.096995,22140182128.087662,0.045167,0.169570
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097012,22136193078.632229,0.045175,0.185060
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.100570,21353099441.663990,0.046832,0.164480
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.100574,21352305731.411907,0.046833,0.167627
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.100572,21352734975.548073,0.046832,0.163418
