dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097033,22131439786.451225,0.045185,0.173707
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097012,22136156520.444893,0.045175,0.156064
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.096999,22139238277.265949,0.045169,0.158629
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097015,22135676052.633644,0.045176,0.183176
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097000,22138928321.671753,0.045169,0.165763
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097019,22134640332.464016,0.045178,0.186211
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097000,22138950958.584290,0.045169,0.163498
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097001,22138672353.651234,0.045170,0.158038
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097011,22136482066.648769,0.045174,0.163098
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097013,22136111258.094532,0.045175,0.167716
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097012,22136257490.970394,0.045175,0.161525
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097009,22136988684.331432,0.045173,0.162366
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097013,22136017252.265999,0.045175,0.163218
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097000,22139043248.014488,0.045169,0.161765
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.096999,22139245242.659912,0.045169,0.164310
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.097006,22137561486.204674,0.045172,0.161775
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165159,13002519373.658739,0.076908,0.168158
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165150,13003225766.260952,0.076904,0.187794
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165157,13002687555.412127,0.076907,0.165853
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165162,13002256298.070173,0.076910,0.188036
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165214,12998211800.130962,0.076934,0.165724
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.167749,12801732817.894875,0.078114,0.180419
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.167722,12803843182.539444,0.078102,0.167966
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165211,12998432693.472942,0.076932,0.169219
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.167735,12802799559.865482,0.078108,0.166954
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165180,13000873824.639894,0.076918,0.170972
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.167743,12802218419.652639,0.078111,0.189237
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165191,12999989964.439028,0.076923,0.168748
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.167739,12802529363.865404,0.078110,0.188746
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165221,12997611584.402218,0.076937,0.185259
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165207,12998714823.604734,0.076931,0.163057
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.165191,13000034394.759544,0.076923,0.191452
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.254391,8441649273.343491,0.118460,0.193235
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.247606,8672989156.186905,0.115301,0.188285
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.251345,8543981488.437919,0.117041,0.171664
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.252111,8517998988.360806,0.117398,0.194586
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.252931,8490378376.074731,0.117780,0.191061
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.254358,8442774517.466969,0.118444,0.167495
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.255444,8406872179.472302,0.118950,0.176042
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.251323,8544728991.156223,0.117031,0.177505
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.251221,8548177184.713711,0.116984,0.173658
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.248207,8651989805.994263,0.115580,0.194917
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.254525,8437224636.831546,0.118522,0.198695
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.252957,8489514373.215942,0.117792,0.191461
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.252223,8514214003.471809,0.117451,0.171854
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.248214,8651737697.261972,0.115584,0.168266
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.251227,8547983526.363536,0.116987,0.206590
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.254284,8445226582.939857,0.118410,0.189327
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259630,8271334732.757656,0.120899,0.227830
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.258705,8300892881.260314,0.120469,0.196711
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.258398,8310756282.594377,0.120326,0.193966
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259173,8285900115.696639,0.120687,0.195188
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.258876,8295403222.222693,0.120549,0.219194
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.256585,8369469762.882278,0.119482,0.197852
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.256752,8364035192.768361,0.119560,0.192233
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.258806,8297662790.463355,0.120516,0.194426
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259277,8282596864.405455,0.120735,0.217190
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259524,8274711711.949758,0.120850,0.183786
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259780,8266544388.583624,0.120970,0.215336
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.258275,8314712728.775540,0.120269,0.215196
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259688,8269468462.133925,0.120927,0.187985
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.259936,8261587905.963442,0.121042,0.192343
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.257719,8332669523.491632,0.120010,0.180740
