dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.505523,1426403794.850406,0.701064,0.019868
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.506069,1425886309.984017,0.701318,0.018464
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.567818,1369727325.336386,0.730072,0.019376
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.512506,1419817940.815718,0.704316,0.018335
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.505616,1426315902.314934,0.701107,0.019807
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.568750,1368913879.203187,0.730506,0.018405
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.568811,1368860301.581510,0.730535,0.016310
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.506788,1425206497.163187,0.701653,0.014758
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.582365,1357135465.744803,0.736846,0.014567
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.598809,1343176833.438825,0.744504,0.017112
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.507868,1424185744.208194,0.702156,0.015188
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.573319,1364938084.932359,0.732634,0.018805
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.571000,1366952883.859031,0.731554,0.019787
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.568185,1369407246.013216,0.730243,0.018765
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.505760,1426179459.051118,0.701174,0.017643
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.514715,1417747350.005496,0.705344,0.016992
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.091837,1026601731.200088,0.974088,0.016401
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.094170,1025458166.296872,0.975174,0.018926
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.084047,1030439225.605230,0.970460,0.015599
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.300648,933425679.759638,1.071323,0.018985
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.053285,1045877089.601683,0.956135,0.018645
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.169399,989897995.467404,1.010205,0.018986
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.089574,1027713386.690832,0.973034,0.019096
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.090455,1027280457.002764,0.973444,0.019196
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.181622,984351816.578565,1.015897,0.015569
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.113771,1015948938.619246,0.984301,0.019377
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.171802,988802906.011995,1.011324,0.018996
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.097720,1023722626.499052,0.976827,0.018875
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.115382,1015175539.168731,0.985051,0.016641
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.125631,1010280613.178257,0.989824,0.019056
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.187292,981799950.018473,1.018537,0.015829
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.299050,934074435.282579,1.070578,0.015780
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.533309,847699110.301970,1.179664,0.015378
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.416495,888677006.928698,1.125268,0.016711
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.561627,838328018.597800,1.192851,0.016732
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.745726,782118608.705023,1.278578,0.019296
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.477436,866816990.439295,1.153646,0.018876
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.543487,844306970.316531,1.184403,0.018926
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.679965,801310234.253045,1.247956,0.015639
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1,2.489895,862479679.553163,1.159448,0.019847
CPU logen,[CPU] HRMQ,32,8,0,67108864,-1CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.506950,1425052834.977516,0.701728,0.014508
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.504693,1427190684.062330,0.700677,0.015328
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.572556,1365600932.531007,0.732278,0.020248
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.575627,1362938719.881248,0.733709,0.019096
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.528199,1405238134.655249,0.711623,0.017162
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.577573,1361258284.298479,0.734614,0.017583
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.599809,1342337759.985801,0.744969,0.013816
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.664356,1290279064.960669,0.775026,0.015789
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.576229,1362418664.412927,0.733989,0.018996
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.508870,1423240024.757254,0.702622,0.020469
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.582411,1357095892.129606,0.736868,0.016301
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.505922,1426025702.594428,0.701250,0.016371
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.573063,1365160410.426574,0.732515,0.020118
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.573807,1364514923.984943,0.732861,0.018856
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.506430,1425544647.543729,0.701486,0.013666
CPU logen,[CPU] HRMQ,32,2,0,67108864,-1,1.570794,1367132198.887966,0.731458,0.018845
CPU logen,[CPU] HRMQ,32,4,0,67108864,-1,2.094170,1025458166.296872,0.975174,0.018404
