dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.044465,48295667949.973938,0.020706,0.308709
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045336,47368138133.841782,0.021111,0.291976
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045332,47372411172.309029,0.021109,0.297328
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045319,47386248030.838982,0.021103,0.287838
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045326,47378758376.081413,0.021107,0.275579
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045325,47379408342.808960,0.021106,0.297654
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045311,47394593927.877029,0.021099,0.303915
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045310,47395092700.272133,0.021099,0.299068
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045326,47378897937.985695,0.021106,0.305810
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045330,47374320736.280235,0.021108,0.302946
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045319,47385593887.818649,0.021103,0.309353
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045314,47390939244.071060,0.021101,0.305560
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045343,47360670139.977272,0.021115,0.297510
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045325,47379858943.706551,0.021106,0.297063
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045307,47398037666.461426,0.021098,0.281203
NVIDIA TITAN RTX,LCA,32,2,0,67108864,-1,0.045321,47383906760.829468,0.021104,0.285521
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045312,47392782474.839775,0.021100,0.297352
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045308,47397890010.390739,0.021098,0.281485
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045322,47382355348.193802,0.021105,0.285212
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045347,47357076459.397415,0.021116,0.286506
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045319,47386200166.103142,0.021103,0.303057
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045309,47396070324.619705,0.021099,0.296908
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045326,47378590902.881577,0.021107,0.301882
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045323,47381984459.962914,0.021105,0.297985
NVIDIA TITAN RTX,LCA,32,4,0,67108864,-1,0.045345,47358399125.407951,0.021116,0.648030
