dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190613,11266199521.864655,0.088761,0.211518
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191502,11213906604.301552,0.089175,0.292675
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191497,11214201473.515957,0.089173,0.208811
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191492,11214466869.067846,0.089171,0.205810
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191498,11214115691.781454,0.089173,0.205735
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191500,11214001318.176870,0.089174,0.212442
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191495,11214319425.543766,0.089172,0.212963
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191497,11214178240.833279,0.089173,0.209349
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191499,11214060291.775391,0.089174,0.208553
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191483,11215027189.820393,0.089166,0.267722
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191502,11213874437.688980,0.089175,0.281531
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191482,11215082599.380283,0.089166,0.208123
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191496,11214229174.148039,0.089172,0.279157
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191490,11214576784.035461,0.089170,0.216647
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191498,11214110330.466621,0.089173,0.264308
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.191485,11214876156.864763,0.089167,0.208644
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.194436,11044667141.452581,0.090541,0.199072
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.196345,10937293881.124399,0.091430,0.215273
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193894,11075569909.807964,0.090289,0.214297
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193895,11075475776.692263,0.090290,0.213492
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.195882,10963121948.043659,0.091215,0.248783
