dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.175605,12229030202.118700,0.081773,0.294989
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148389,14471975636.314840,0.069099,0.309086
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148374,14473487751.700695,0.069092,0.257768
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148374,14473449051.894833,0.069092,0.261796
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148386,14472325359.323793,0.069097,0.259961
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148361,14474706901.529303,0.069086,0.260333
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148374,14473495193.994780,0.069092,0.260604
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148380,14472905788.003626,0.069095,0.268450
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148388,14472063437.523766,0.069099,0.271865
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148379,14472920671.402485,0.069095,0.265202
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148389,14471941409.013525,0.069099,0.301591
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148371,14473766098.709267,0.069091,0.262558
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148383,14472603661.624613,0.069096,0.277756
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148385,14472425070.682409,0.069097,0.263740
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148389,14472032186.123898,0.069099,0.258599
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,1,1,67108864,-1,0.148381,14472795651.803455,0.069095,0.300388
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152987,14037006969.789377,0.071240,0.272496
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152991,14036634570.066088,0.071242,0.268750
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.153001,14035726053.653452,0.071247,0.270693
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152984,14037291182.872644,0.071239,0.267827
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152988,14036935568.311346,0.071241,0.296112
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152994,14036386781.198605,0.071243,0.277256
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.153000,14035810040.991997,0.071246,0.278257
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.153000,14035815640.183640,0.071246,0.269821
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152986,14037110573.225622,0.071240,0.273618
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.152988,14036925768.165173,0.071241,0.269401
NVIDIA A100-SXM4-40GB,[GPU] RTX_cast,32,2,2,67108864,-1,0.153009,14035034596.102909,0.071250,0.298035
