dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185169,11597402935.967663,0.086226,0.295230
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185217,11594408613.671349,0.086248,0.289859
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185150,11598597656.827847,0.086217,0.280311
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185162,11597842564.621630,0.086223,0.295450
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185275,11590782911.099892,0.086275,0.282976
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185282,11590360998.779179,0.086279,0.280992
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185206,11595097342.828838,0.086243,0.286263
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185102,11601638136.629244,0.086195,0.285100
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185163,11597808157.698725,0.086223,0.287846
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185115,11600790849.053740,0.086201,0.282516
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185135,11599578467.663557,0.086210,0.283877
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185116,11600717219.296869,0.086202,0.281964
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185188,11596253369.007212,0.086235,0.284729
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185136,11599479996.707186,0.086211,0.282274
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185165,11597664797.717342,0.086224,0.285391
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185195,11595814816.239473,0.086238,0.333291
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238372,9008960110.048262,0.111001,0.284168
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238379,9008695418.876158,0.111004,0.291431
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238373,9008937042.660772,0.111001,0.280472
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238368,9009104860.601107,0.110999,0.286763
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238588,9000821776.476200,0.111101,0.289849
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238386,9008433049.731483,0.111007,0.295430
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238534,9002833528.683596,0.111076,0.288818
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238367,9009145806.820597,0.110998,0.287024
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238352,9009707557.324951,0.110991,0.290581
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238375,9008840160.923264,0.111002,0.293657
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238521,9003312704.712622,0.111070,0.291012
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238372,9008968760.349024,0.111000,0.286713
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238378,9008716178.405977,0.111004,0.290701
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238375,9008863227.814623,0.111002,0.286242
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238379,9008708681.898062,0.111004,0.294969
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238369,9009082945.875978,0.110999,0.292615
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,4,67108864,-1,0.296261,7248612178.386822,0.137957,0.338751
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,4,4,67108864,-1,0.265714,8081947863.174327,0.123733,0.296111
