dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.099360,21613268448.653328,0.046268,0.160682
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095492,22488514794.416409,0.044467,0.159189
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095488,22489515615.116249,0.044465,0.162846
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095501,22486425396.681507,0.044471,0.183144
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095496,22487647009.436787,0.044469,0.161113
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095505,22485631419.561905,0.044473,0.161654
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095493,22488340513.383430,0.044467,0.161905
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095494,22488092571.826763,0.044468,0.181662
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095503,22485972715.072765,0.044472,0.186449
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095500,22486761326.957977,0.044471,0.185119
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095486,22490128369.776653,0.044464,0.164529
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095508,22484812352.605022,0.044474,0.206118
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095503,22485963733.479214,0.044472,0.185238
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095508,22484950655.776646,0.044474,0.183895
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095493,22488482453.402039,0.044467,0.185079
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095495,22487812296.650440,0.044469,0.159399
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098880,21718186814.666134,0.046044,0.165029
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098881,21717908644.940193,0.046045,0.160802
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098882,21717677400.833092,0.046045,0.166372
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098886,21716715612.239071,0.046047,0.163577
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098886,21716729016.372784,0.046047,0.168076
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098879,21718361093.305820,0.046044,0.164529
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098887,21716548061.963783,0.046048,0.187923
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098878,21718552132.720406,0.046044,0.160872
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098882,21717709238.497540,0.046045,0.161713
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098889,21716048777.474960,0.046049,0.221296
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,2,67108864,-1,0.098878,21718466667.303696,0.046044,0.162756
