dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095140,22571755028.628662,0.044303,0.158959
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095142,22571463614.144577,0.044304,0.163919
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095140,22571764078.888390,0.044303,0.162395
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095139,22571999388.188786,0.044303,0.159159
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095139,22572062741.530994,0.044303,0.158868
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095132,22573610483.639977,0.044300,0.158879
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095144,22570940534.971310,0.044305,0.180159
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095135,22572909900.392570,0.044301,0.161714
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095141,22571566784.871677,0.044304,0.162586
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095141,22571621085.633198,0.044303,0.161143
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095140,22571731497.987328,0.044303,0.161493
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095140,22571852771.817818,0.044303,0.159951
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095140,22571767698.994316,0.044303,0.160881
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095149,22569648325.652771,0.044307,0.192631
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095157,22567755524.232307,0.044311,0.182463
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,1,1,67108864,-1,0.095133,22573548931.948132,0.044300,0.157996
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.161817,13271044406.205687,0.075352,0.168517
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164296,13070809906.439787,0.076506,0.166112
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164294,13070968933.774588,0.076505,0.164278
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164316,13069245332.362856,0.076516,0.183304
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164308,13069835189.847805,0.076512,0.164869
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.161810,13271648865.861824,0.075349,0.165441
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164295,13070910663.767624,0.076506,0.165861
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.161833,13269775595.484310,0.075359,0.159910
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.161907,13263646428.956091,0.075394,0.167144
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.162019,13254556286.093317,0.075446,0.163868
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.162152,13243620181.488827,0.075508,0.184938
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.161999,13256139325.445818,0.075437,0.168636
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164555,13050230966.071669,0.076627,0.188214
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164353,13066294417.195454,0.076533,0.180710
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.164470,13056972366.330223,0.076587,0.166313
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,2,1,67108864,-1,0.162133,13245180664.827705,0.075499,0.172725
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.246790,8701681410.469669,0.114920,0.189295
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.246831,8700230618.665066,0.114939,0.171813
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.245755,8738322877.375313,0.114438,0.169699
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.244673,8776954324.743252,0.113935,0.193833
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.247571,8674225039.652468,0.115284,0.190427
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.249665,8601459203.354494,0.116259,0.171702
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.248296,8648889464.084867,0.115622,0.170721
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.244535,8781923936.806210,0.113870,0.179167
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.249663,8601521761.604515,0.116258,0.229711
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.246670,8705885897.247929,0.114865,0.169558
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.248344,8647213939.806355,0.115644,0.170680
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.244144,8795988020.101009,0.113688,0.169428
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.244968,8766379379.301857,0.114072,0.173697
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.246591,8708683422.404610,0.114828,0.192131
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.251040,8554362249.809948,0.116899,0.171532
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,4,1,67108864,-1,0.245004,8765086528.613031,0.114089,0.167705
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.253165,8482562150.482278,0.117889,0.186821
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.251446,8540525794.549052,0.117089,0.191499
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,32,8,1,67108864,-1,0.257017,8355425777.828861,0.119683,0.191960
