timestep       power           acc-energy      avg-power       dt              acc-time       
1               66.949952       33.527969       66.950425       0.500788        0.500788       
2               60.775823       65.094574       64.215591       0.512900        1.013688       
3               631.973651      384.864731      252.241796      0.512089        1.525777       
4               618.873654      694.377731      342.751265      0.500117        2.025894       
5               619.702990      1004.323608     397.585017      0.500166        2.526060       
6               619.919049      1314.358215     434.330164      0.500113        3.026173       
7               620.154862      1624.512573     460.685517      0.500121        3.526294       
8               618.253927      1934.400009     480.295330      0.501228        4.027522       
9               592.945987      2231.059052     492.741488      0.500327        4.527849       
10              536.211811      2499.230911     497.065400      0.500123        5.027972       
11              562.812279      2780.704025     503.013432      0.500119        5.528091       
12              620.348888      3090.952911     512.747963      0.500120        6.028211       
13              622.797214      3402.426254     521.178576      0.500120        6.528331       
14              625.411024      3715.199936     528.595241      0.500109        7.028440       
15              623.856311      4027.191101     534.923181      0.500101        7.528541       
16              625.616515      4340.064423     540.572466      0.500104        8.028645       
17              624.285155      4652.271301     545.481154      0.500103        8.528748       
18              624.284674      4964.479813     549.846062      0.500106        9.028854       
19              614.035501      5271.567261     553.214977      0.500113        9.528967       
20              623.508327      5583.390625     556.720176      0.500112        10.029079      
21              625.447672      5896.178574     559.984540      0.500102        10.529181      
22              625.720833      6209.102188     562.965222      0.500101        11.029282      
23              625.758546      6522.044037     565.688953      0.500100        11.529382      
24              625.674815      6834.945572     568.182725      0.500103        12.029485      
25              626.075689      7148.045715     570.493459      0.500099        12.529584      
26              624.660770      7460.439499     572.572470      0.500102        13.029686      
27              627.398449      7774.196762     574.598989      0.500092        13.529778      
28              623.997189      8086.259628     576.359816      0.500103        14.029881      
29              623.114187      8397.880280     577.969037      0.500102        14.529983      
30              622.719776      8709.307114     579.458081      0.500107        15.030090      
31              626.124354      9022.436279     580.960802      0.500108        15.530198      
32              624.780455      9334.891800     582.327881      0.500104        16.030302      
33              623.716134      9646.811615     583.580012      0.500099        16.530401      
34              625.781703      9959.766922     584.819270      0.500103        17.030504      
35              625.104886      10272.393127    585.968548      0.500118        17.530622      
36              470.589572      10507.735443    582.768392      0.500101        18.030723      
37              573.083676      10794.338028    582.507023      0.500106        18.530829      
38              624.597162      11106.722229    583.613407      0.500129        19.030958      
39              623.172092      11418.380600    584.626564      0.500109        19.531067      
40              619.142647      11728.031738    585.487904      0.500144        20.031211      
41              523.982596      11990.088272    583.989677      0.500125        20.531336      
42              487.148904      12233.737015    581.686708      0.500152        21.031488      
43              576.054430      12521.870224    581.555869      0.500184        21.531672      
44              615.729587      12829.806442    582.331604      0.500116        22.031788      
45              624.251611      13142.007782    583.262065      0.500121        22.531909      
46              622.197430      13453.179916    584.107509      0.500118        23.032027      
47              562.089764      13734.291687    583.639575      0.500119        23.532146      
48              593.689330      14031.221283    583.848895      0.500136        24.032282      
49              594.486586      14328.539810    584.065938      0.500119        24.532401      
50              606.748583      14632.016312    584.519024      0.500174        25.032575      
51              623.505413      14943.843246    585.282782      0.500114        25.532689      
52              547.893773      15217.876953    584.564318      0.500164        26.032853      
53              625.919359      15530.910522    585.343927      0.500113        26.532966      
54              626.835812      15844.420837    586.111395      0.500156        27.033122      
55              620.667273      16154.818100    586.739193      0.500096        27.533218      
56              618.958077      16464.379745    587.313757      0.500145        28.033363      
57              622.585498      16775.746582    587.931980      0.500119        28.533482      
58              622.579652      17087.111740    588.528807      0.500121        29.033603      
59              621.058136      17397.711609    589.079648      0.500114        29.533717      
60              536.472639      17666.020096    588.203745      0.500128        30.033845      
61              470.707519      17901.427261    586.279407      0.500107        30.533952      
62              619.602895      18211.307999    586.816183      0.500141        31.034093      
63              625.895808      18524.328506    587.435965      0.500116        31.534209      
64              627.415922      18838.111130    588.060131      0.500119        32.034328      
65              624.243127      19150.320450    588.616497      0.500133        32.534461      
66              566.752370      19433.764084    588.285508      0.500118        33.034579      
67              623.812739      19745.744110    588.815466      0.500111        33.534690      
68              623.386504      20057.521103    589.323208      0.500150        34.034840      
69              620.171722      20367.678284    589.769938      0.500115        34.534955      
70              568.043301      20651.773529    589.459899      0.500123        35.035078      
71              625.798009      20964.745804    589.971450      0.500109        35.535187      
72              625.945777      21277.804977    590.470509      0.500152        36.035339      
73              627.760216      21591.760727    590.980946      0.500121        36.535460      
74              626.893857      21905.290405    591.465918      0.500132        37.035592      
75              625.586288      22218.158936    591.920541      0.500120        37.535712      
76              621.035449      22528.749008    592.303352      0.500117        38.035829      
