#timestep       power           acc-energy      avg-power       dt              acc-time       
1               62.992486       31.547363       62.992678       0.500810        0.500810       
2               74.763939       70.994873       69.030741       0.527643        1.028453       
3               617.622177      379.897079      248.527780      0.500137        1.528590       
4               602.998139      681.498749      335.916212      0.500186        2.028776       
5               517.509859      940.368820      371.834398      0.500223        2.528999       
6               546.496304      1213.691406     400.673529      0.500129        3.029128       
7               503.139484      1465.321243     415.195500      0.500104        3.529232       
8               603.123853      1768.553528     438.626736      0.502792        4.032024       
9               607.783912      2072.536652     457.294149      0.500150        4.532174       
10              611.139779      2378.174377     472.583404      0.500111        5.032285       
11              504.267767      2630.401550     475.447955      0.500185        5.532470       
12              468.800745      2865.007034     474.896681      0.500436        6.032906       
13              592.986734      3161.602783     483.938225      0.500165        6.533071       
14              614.303001      3468.827713     493.208444      0.500117        7.033188       
15              616.240883      3777.021698     501.375516      0.500131        7.533319       
16              609.461209      4081.813858     508.104127      0.500101        8.033420       
17              588.212557      4375.999313     512.799580      0.500127        8.533547       
18              561.827409      4656.981888     515.514123      0.500118        9.033665       
19              611.778140      4962.952576     520.563730      0.500139        9.533804       
20              615.861041      5270.957031     525.313839      0.500116        10.033920      
21              612.961725      5577.506134     529.474454      0.500122        10.534042      
22              615.538211      5885.337097     533.375097      0.500101        11.034143      
23              613.035214      6191.915405     536.829030      0.500098        11.534241      
24              614.083445      6499.024979     540.039462      0.500111        12.034352      
25              611.157565      6804.672211     542.877000      0.500112        12.534464      
26              604.452784      7106.979080     545.239983      0.500125        13.034589      
27              597.652674      7405.885239     547.176874      0.500130        13.534719      
28              616.132224      7714.028687     549.634127      0.500124        14.034843      
29              613.528795      8020.870270     551.832143      0.500139        14.534982      
30              616.750770      8329.308563     553.991488      0.500102        15.035084      
31              608.262852      8633.519775     555.738995      0.500122        15.535206      
32              613.381513      8940.284454     557.536842      0.500119        16.035325      
33              550.381131      9215.563370     557.320281      0.500164        16.535489      
34              469.341782      9450.312653     554.737427      0.500161        17.035650      
35              497.998886      9699.392227     553.118987      0.500165        17.535815      
36              590.646430      9994.790802     554.159776      0.500122        18.035937      
37              618.245360      10303.993454    555.888456      0.500144        18.536081      
38              570.484946      10589.309280    556.272164      0.500121        19.036202      
39              609.027509      10893.896118    557.622674      0.500120        19.536322      
40              617.556984      11202.754303    559.118833      0.500124        20.036446      
41              618.878510      11512.282639    560.574042      0.500150        20.536596      
42              622.556625      11823.630707    562.047681      0.500108        21.036704      
43              621.165955      12134.312683    563.420331      0.500170        21.536874      
44              621.263600      12445.004745    564.733000      0.500097        22.036971      
45              621.294692      12755.710800    565.988084      0.500095        22.537066      
46              595.758544      13053.666687    566.634601      0.500120        23.037186      
47              611.207386      13359.340073    567.581720      0.500112        23.537298      
48              618.037814      13668.435852    568.631285      0.500134        24.037432      
49              617.980545      13977.486679    569.637046      0.500099        24.537531      
50              619.211176      14287.155121    570.627251      0.500101        25.037632      
51              620.885562      14597.656265    571.611437      0.500094        25.537726      
52              603.436147      14899.436493    572.222688      0.500103        26.037829      
53              613.477661      15206.250168    573.000160      0.500122        26.537951      
54              619.741967      15516.186844    573.864714      0.500106        27.038057      
55              620.773266      15826.634933    574.716584      0.500099        27.538156      
56              621.091449      16137.242767    575.543742      0.500100        28.038256      
57              621.003228      16447.801514    576.340351      0.500092        28.538348      
58              621.523337      16758.622849    577.118486      0.500096        29.038444      
59              620.018863      17068.696762    577.844814      0.500104        29.538548      
60              620.192104      17378.859482    578.549835      0.500108        30.038656      
61              621.220628      17689.532852    579.248620      0.500101        30.538757      
62              621.638504      18000.413025    579.931606      0.500098        31.038855      
63              623.476157      18312.212204    580.622071      0.500098        31.538953      
64              621.889907      18623.215302    581.266206      0.500094        32.039047      
65              621.884946      18934.215302    581.890483      0.500092        32.539139      
66              622.913135      19245.730423    582.511417      0.500094        33.039233      
67              622.465941      19557.020660    583.107163      0.500092        33.539325      
68              610.006089      19862.091415    583.502365      0.500111        34.039436      
69              537.303607      20130.811188    582.833407      0.500127        34.539563      
70              513.754535      20387.758331    581.847433      0.500135        35.039698      
71              505.612571      20640.620483    580.774660      0.500111        35.539809      
72              518.269898      20899.815552    579.907299      0.500116        36.039925      
73              537.494937      21168.637527    579.326904      0.500131        36.540056      
74              620.145230      21478.781174    579.878087      0.500111        37.040167      
75              619.475132      21788.592377    580.405434      0.500130        37.540297      
76              620.934773      22099.121857    580.938255      0.500100        38.040397      
77              622.067679      22410.195816    581.471904      0.500065        38.540462      
78              621.381048      22720.944443    581.983131      0.500093        39.040555      
79              619.596056      23030.811279    582.458935      0.500106        39.540661      
80              622.435147      23342.093628    582.958321      0.500098        40.040759      
81              621.349436      23652.839111    583.431755      0.500125        40.540884      
82              620.069745      23962.950592    583.878303      0.500118        41.041002      
83              620.773047      24273.400131    584.322489      0.500100        41.541102      
84              621.462062      24584.193314    584.764296      0.500099        42.041201      
85              574.607686      24871.648285    584.644888      0.500261        42.541462      
86              602.538827      25173.026169    584.852858      0.500178        43.041640      
87              617.385406      25481.799057    585.226371      0.500142        43.541782      
88              503.708097      25733.724182    584.300768      0.500132        44.041914      
89              618.216555      26042.902954    584.681611      0.500111        44.542025      
90              620.156671      26353.056244    585.075347      0.500133        45.042158      
91              619.898866      26663.064880    585.457748      0.500095        45.542253      
92              621.867039      26974.057785    585.853206      0.500096        46.042349      
93              621.452964      27284.843613    586.235717      0.500096        46.542445      
94              620.968767      27595.389786    586.604963      0.500099        47.042544      
95              621.009215      27905.954010    586.966858      0.500096        47.542640      
96              622.065582      28217.048386    587.332217      0.500099        48.042739      
97              574.232137      28504.234238    587.197342      0.500114        48.542853      
98              516.492085      28762.555435    586.476300      0.500144        49.042997      
99              578.718658      29051.984497    586.397984      0.500121        49.543118      
100             619.596053      29361.853180    586.729800      0.500110        50.043228      
101             620.928471      29672.397751    587.068052      0.500142        50.543370      
102             622.980512      29983.950928    587.419906      0.500101        51.043471      
103             621.060761      30294.539688    587.746301      0.500094        51.543565      
104             621.492559      30605.346252    588.070575      0.500097        52.043662      
105             621.704889      30916.270538    588.390771      0.500110        52.543772      
106             621.722295      31227.195755    588.705080      0.500098        53.043870      
107             614.179758      31534.362045    588.942909      0.500135        53.544005      
108             620.880727      31844.870392    589.238447      0.500110        54.044115      
109             621.052984      32155.459610    589.530146      0.500101        54.544216      
110             620.660873      32465.848389    589.812978      0.500094        55.044310      
111             621.900195      32776.858810    590.101877      0.500097        55.544407      
112             621.431506      33087.611542    590.381422      0.500059        56.044466      
113             622.100570      33398.720612    590.661949      0.500095        56.544561      
114             623.084206      33710.322845    590.946192      0.500096        57.044657      
115             621.893536      34021.329315    591.215142      0.500096        57.544753      
116             618.852199      34330.821320    591.453254      0.500107        58.044860      
117             620.956906      34641.370255    591.705290      0.500113        58.544973      
118             621.314209      34952.091354    591.956074      0.500103        59.045076      
119             621.890607      35263.096359    592.207482      0.500096        59.545172      
120             622.570817      35574.442780    592.460368      0.500098        60.045270      
121             622.091785      35885.549637    592.705121      0.500098        60.545368      
122             622.014208      36196.618942    592.945228      0.500100        61.045468      
123             622.893444      36508.123901    593.188570      0.500094        61.545562      
124             622.620165      36819.498428    593.425801      0.500103        62.045665      
125             623.610525      37131.373535    593.667156      0.500112        62.545777      
126             622.927784      37442.903458    593.899263      0.500106        63.045883      
127             622.286722      37754.113403    594.122672      0.500107        63.545990      
128             612.046431      38060.211288    594.262635      0.500122        64.046112      
129             621.255370      38370.934647    594.471796      0.500154        64.546266      
130             620.446005      38681.222488    594.671501      0.500104        65.046370      
131             622.797598      38992.688858    594.886094      0.500109        65.546479      
132             623.559576      39304.533188    595.103213      0.500103        66.046582      
133             620.923816      39615.063705    595.297255      0.500111        66.546693      
134             622.641199      39926.450928    595.501216      0.500107        67.046800      
135             624.885427      40238.954880    595.718768      0.500098        67.546898      
136             623.345479      40550.701797    595.921814      0.500119        68.047017      
137             623.392912      40862.458099    596.122233      0.500096        68.547113      
138             623.832062      41174.438385    596.322933      0.500103        69.047216      
139             623.745727      41486.372375    596.520124      0.500098        69.547314      
140             624.071569      41798.471191    596.716827      0.500101        70.047415      
141             624.624428      42110.843994    596.914658      0.500097        70.547512      
142             624.050541      42422.931046    597.105665      0.500099        71.047611      
143             624.311376      42735.146667    597.295825      0.500096        71.547707      
144             623.701505      43047.063217    597.479110      0.500106        72.047813      
145             624.320283      43359.290161    597.664139      0.500107        72.547920      
146             625.966890      43672.334015    597.857908      0.500096        73.048016      
147             625.319847      43985.051468    598.044636      0.500092        73.548108      
148             612.892446      44291.565109    598.144916      0.500110        74.048218      
149             623.430119      44603.346252    598.314541      0.500106        74.548324      
150             625.678606      44916.248123    598.496887      0.500100        75.048424      
151             624.866749      45228.759644    598.671509      0.500118        75.548542      
152             625.092524      45541.375305    598.845283      0.500108        76.048650      
153             625.508445      45854.198288    599.019400      0.500120        76.548770      
154             625.326777      46166.923584    599.190153      0.500099        77.048869      
155             625.388257      46479.677750    599.359098      0.500096        77.548965      
156             626.432390      46792.953140    599.532565      0.500095        78.049060      
157             624.426395      47105.229721    599.691061      0.500101        78.549161      
158             624.736961      47417.660675    599.849513      0.500100        79.049261      
159             626.145371      47730.795349    600.014825      0.500099        79.549360      
160             625.911684      48043.813156    600.176613      0.500099        80.049459      
161             625.873347      48356.817734    600.336152      0.500109        80.549568      
162             625.884928      48669.818405    600.493794      0.500093        81.049661      
163             626.666866      48983.210434    600.654300      0.500093        81.549754      
164             626.189950      49296.366776    600.809941      0.500098        82.049852      
165             626.437085      49609.646393    600.965190      0.500098        82.549950      
166             627.107963      49923.261520    601.122616      0.500097        83.050047      
167             626.534248      50236.588165    601.274719      0.500095        83.550142      
168             613.623829      50543.466965    601.348198      0.500109        84.050251      
169             625.558503      50856.310333    601.491395      0.500103        84.550354      
170             624.072874      51168.406372    601.624177      0.500095        85.050449      
171             623.675804      51480.331589    601.753094      0.500140        85.550589      
172             624.621347      51792.702850    601.885996      0.500097        86.050686      
173             623.918900      52104.721573    602.013303      0.500095        86.550781      
174             623.756585      52416.660370    602.138216      0.500097        87.050878      
175             624.818452      52729.130203    602.267767      0.500097        87.550975      
176             623.933244      53041.156723    602.390818      0.500096        88.051071      
177             624.453615      53353.441605    602.515418      0.500093        88.551164      
178             623.881555      53665.447266    602.635408      0.500104        89.051268      
179             624.639975      53977.842834    602.758298      0.500121        89.551389      
180             626.056003      54290.932816    602.887681      0.500099        90.051488      
181             625.324886      54603.657791    603.011598      0.500100        90.551588      
182             624.518113      54915.976486    603.129718      0.500096        91.051684      
183             624.457475      55228.264862    603.246223      0.500095        91.551779      
184             624.120964      55540.387756    603.359631      0.500100        92.051879      
185             623.089447      55851.997589    603.466238      0.500105        92.551984      
186             621.137649      56162.659683    603.561300      0.500138        93.052122      
187             608.831893      56467.151703    603.589450      0.500129        93.552251      
188             560.951506      56747.693970    603.362760      0.500113        94.052364      
189             621.882333      57058.693512    603.460628      0.500107        94.552471      
190             555.521262      57336.511917    603.208402      0.500104        95.052575      
191             619.413405      57646.284897    603.293217      0.500107        95.552682      
192             620.452071      57956.572357    603.382554      0.500099        96.052781      
193             620.600205      58266.932037    603.471733      0.500096        96.552877      
194             622.173987      58578.078445    603.568099      0.500096        97.052973      
195             621.611313      58888.941605    603.660599      0.500092        97.553065      
196             622.141918      59200.071045    603.754858      0.500094        98.053159      
197             623.155764      59511.711243    603.853306      0.500100        98.553259      
198             621.641907      59822.594360    603.943117      0.500100        99.053359      
199             622.070706      60133.689117    604.034176      0.500096        99.553455      
200             622.809476      60445.157074    604.128024      0.500101        100.053556     
201             621.243645      60755.839157    604.213147      0.500097        100.553653     
202             623.200450      61067.497025    604.307108      0.500093        101.053746     
203             622.741329      61378.925919    604.397889      0.500093        101.553839     
204             532.985240      61645.496887    604.047909      0.500147        102.053986     
205             467.358301      61879.247543    603.381279      0.500153        102.554139     
206             486.296977      62122.462738    602.813100      0.500129        103.054268     
207             525.400928      62385.225189    602.439230      0.500119        103.554387     
208             612.130833      62691.365021    602.485844      0.500116        104.054503     
209             619.793243      63001.341827    602.568560      0.500142        104.554645     
210             619.999701      63311.418304    602.651591      0.500115        105.054760     
211             622.588689      63622.850555    602.746076      0.500221        105.554981     
212             620.351198      63933.101852    602.829107      0.500120        106.055101     
213             617.743061      64242.040924    602.899039      0.500121        106.555222     
214             620.395791      64552.325989    602.980783      0.500140        107.055362     
215             619.307138      64862.041489    603.056695      0.500100        107.555462     
216             621.092618      65172.650528    603.140169      0.500101        108.055563     
217             622.284943      65483.855850    603.228366      0.500101        108.555664     
218             620.515098      65794.174210    603.307638      0.500098        109.055762     
219             621.798866      66105.133957    603.392046      0.500097        109.555859     
220             623.383764      66416.890671    603.482891      0.500104        110.055963     
221             507.837326      66670.889572    603.050188      0.500158        110.556121     
222             489.520072      66915.718399    602.538953      0.500132        111.056253     
223             565.858916      67198.719757    602.374537      0.500122        111.556375     
224             617.134014      67507.335724    602.440331      0.500093        112.056468     
225             620.555251      67817.672302    602.520817      0.500095        112.556563     
226             620.452631      68127.960663    602.600137      0.500100        113.056663     
227             607.498319      68431.775482    602.621741      0.500102        113.556765     
228             621.192945      68742.444977    602.703197      0.500113        114.056878     
229             621.213555      69053.123428    602.783950      0.500126        114.557004     
230             619.752050      69363.054611    602.857701      0.500089        115.057093     
231             622.079459      69674.165634    602.940935      0.500106        115.557199     
232             550.196393      69949.327682    602.713674      0.500111        116.057310     
233             473.922518      70186.363693    602.160947      0.500172        116.557482     
234             546.070612      70459.477432    601.921343      0.500134        117.057616     
235             619.581135      70769.344833    601.996478      0.500123        117.557739     
236             596.776678      71067.805283    601.974314      0.500131        118.057870     
237             619.003764      71377.373398    602.046148      0.500107        118.557977     
238             621.788919      71688.330658    602.129077      0.500101        119.058078     
239             621.289456      71999.038757    602.209224      0.500102        119.558180     
240             619.752946      72308.979065    602.282302      0.500103        120.058283     
241             622.044891      72620.063400    602.364279      0.500100        120.558383     
242             611.519280      72925.902313    602.402139      0.500122        121.058505     
243             618.996792      73235.467545    602.470401      0.500110        121.558615     
244             621.668485      73546.376129    602.549100      0.500112        122.058727     
245             619.253329      73856.080093    602.617205      0.500137        122.558864     
246             618.233536      74165.256821    602.680663      0.500098        123.058962     
247             622.219904      74476.429932    602.759750      0.500101        123.559063     
248             607.255216      74780.123123    602.777872      0.500108        124.059171     
249             619.259524      75089.818832    602.844044      0.500107        124.559278     
250             612.995115      75396.395554    602.884678      0.500121        125.059399     
251             578.630738      75685.787903    602.788084      0.500130        125.559529     
252             471.514156      75921.653137    602.267113      0.500240        126.059769     
253             486.144457      76164.789597    601.808265      0.500124        126.559893     
254             618.721689      76474.226562    601.874848      0.500121        127.060014     
255             618.803765      76783.700150    601.941172      0.500126        127.560140     
256             617.065507      77092.289673    602.000234      0.500092        128.060232     
257             542.182539      77363.474258    601.767548      0.500164        128.560396     
258             619.982934      77673.550995    601.838153      0.500134        129.060530     
259             619.125978      77983.200943    601.904872      0.500144        129.560674     
260             618.760316      78292.656921    601.969698      0.500120        130.060794     
261             621.093001      78603.272598    602.042901      0.500122        130.560916     
262             619.085172      78912.875854    602.107930      0.500098        131.061014     
