#timestep       power           acc-energy      avg-power       dt              acc-time       
1               99.978000       10.028593       99.978000       0.100308        0.100308       
2               75.960000       18.916901       87.045894       0.117013        0.217321       
3               68.806000       25.859288       81.262553       0.100898        0.318219       
4               69.322000       32.848818       78.389527       0.100827        0.419046       
5               69.300000       39.840980       76.625668       0.100897        0.519943       
6               69.177000       46.823222       75.414772       0.100933        0.620876       
7               69.140000       53.802905       74.537222       0.100950        0.721826       
8               69.208000       60.775334       73.884516       0.100746        0.822572       
9               69.058000       67.747223       73.356898       0.100957        0.923529       
10              69.069000       74.706270       72.935113       0.100755        1.024284       
11              264.585000      101.357388      90.094495       0.100728        1.125012       
12              298.323000      131.427153      107.216752      0.100796        1.225808       
13              299.635000      161.619274      121.832359      0.100763        1.326571       
14              302.118000      192.063705      134.560491      0.100770        1.427341       
15              293.859000      221.678227      145.066076      0.100778        1.528119       
16              289.257000      250.837358      153.989413      0.100807        1.628926       
17              291.584000      281.698317      162.384137      0.105839        1.734765       
18              301.624000      312.206076      170.055219      0.101145        1.835910       
19              301.907000      342.636189      176.917260      0.100793        1.936703       
20              298.795000      372.827332      182.960650      0.101043        2.037746       
21              300.303000      403.103880      188.492607      0.100820        2.138566       
22              280.758000      431.402321      192.645450      0.100793        2.239359       
23              296.706000      461.312956      197.128136      0.100809        2.340168       
24              298.577000      491.407727      201.317237      0.100794        2.440962       
25              298.405000      521.489636      205.167828      0.100809        2.541771       
26              298.762000      551.600962      208.737504      0.100787        2.642558       
27              280.171000      579.838557      211.361880      0.100787        2.743345       
28              299.212000      609.989252      214.474413      0.100767        2.844112       
29              301.640000      640.393056      217.457820      0.100795        2.944907       
30              302.420000      670.880016      220.269978      0.100810        3.045717       
31              298.639000      700.978049      222.780177      0.100784        3.146501       
32              291.977000      730.660139      224.945858      0.101659        3.248160       
33              281.643000      760.544151      226.739367      0.106106        3.354266       
34              300.069000      790.775203      228.877635      0.100747        3.455013       
35              302.038000      821.332991      230.959017      0.101172        3.556185       
36              301.251000      851.692766      232.896131      0.100779        3.656964       
37              300.833000      882.010715      234.718149      0.100780        3.757744       
38              278.599000      910.077057      235.863832      0.100741        3.858485       
39              297.967000      940.120176      237.445338      0.100827        3.959312       
40              298.169000      970.178295      238.953050      0.100809        4.060121       
41              298.858000      1000.302583     240.404243      0.100798        4.160919       
42              299.237000      1030.462681     241.795646      0.100790        4.261709       
43              296.022000      1060.320940     243.049388      0.100865        4.362574       
44              287.598000      1089.318871     244.055738      0.100828        4.463402       
45              301.617000      1119.711308     245.326542      0.100765        4.564167       
46              302.750000      1150.228205     246.567329      0.100799        4.664966       
47              300.973000      1180.566885     247.718077      0.100802        4.765768       
48              300.228000      1210.838574     248.806008      0.100829        4.866597       
49              284.275000      1239.492357     249.525729      0.100796        4.967393       
50              301.905000      1269.910192     250.567010      0.100753        5.068146       
51              301.027000      1301.679678     251.596334      0.105537        5.173683       
52              302.731000      1332.295167     252.576710      0.101131        5.274814       
53              299.932000      1362.605695     253.466916      0.101058        5.375872       
54              292.169000      1392.044351     254.178956      0.100759        5.476631       
55              290.842000      1421.361516     254.841568      0.100801        5.577432       
56              299.147000      1451.516132     255.628093      0.100802        5.678234       
57              300.468000      1481.802705     256.410192      0.100798        5.779032       
58              300.255000      1512.069310     257.161861      0.100803        5.879835       
59              301.241000      1542.435909     257.904824      0.100805        5.980640       
60              285.107000      1571.159584     258.355468      0.100747        6.081387       
61              300.952000      1601.503370     259.050177      0.100826        6.182213       
62              301.878000      1631.932371     259.737268      0.100799        6.283012       
63              301.837000      1662.360257     260.402078      0.100809        6.383821       
64              290.293000      1691.620340     260.866694      0.100795        6.484616       
65              293.844000      1721.246573     261.371577      0.100823        6.585439       
66              301.694000      1751.639227     261.979110      0.100740        6.686179       
67              302.984000      1782.160017     262.587721      0.100734        6.786913       
68              297.301000      1813.838628     263.124293      0.106554        6.893467       
69              301.921000      1844.319666     263.684281      0.100957        6.994424       
70              283.691000      1872.909762     263.968453      0.100779        7.095203       
71              297.687000      1903.003834     264.442129      0.101093        7.196296       
72              300.975000      1933.428794     264.948205      0.101088        7.297384       
73              299.338000      1963.606555     265.416834      0.100815        7.398199       
74              300.357000      1993.878335     265.886428      0.100786        7.498985       
75              288.193000      2022.937412     266.182385      0.100832        7.599817       
76              290.776000      2052.253739     266.504378      0.100821        7.700638       
77              296.258000      2082.118323     266.888838      0.100806        7.801444       
78              302.956000      2112.660226     267.348965      0.100813        7.902257       
79              300.688000      2142.972584     267.768917      0.100810        8.003067       
80              300.055000      2173.219928     268.170531      0.100806        8.103873       
81              281.330000      2201.570396     268.332162      0.100773        8.204646       
82              299.929000      2231.802039     268.715625      0.100796        8.305442       
83              298.429000      2261.888458     269.071977      0.100816        8.406258       
84              300.251000      2292.154659     269.441427      0.100803        8.507061       
85              296.264000      2323.344444     269.769306      0.105277        8.612338       
86              286.101000      2352.297579     269.958982      0.101199        8.713537       
87              292.642000      2381.902707     270.219312      0.101165        8.814702       
88              300.218000      2412.170986     270.558551      0.100821        8.915523       
89              300.374000      2442.446883     270.891860      0.100794        9.016317       
90              298.183000      2472.506413     271.193621      0.100809        9.117126       
91              302.839000      2503.038641     271.539738      0.100820        9.217946       
92              280.802000      2531.346010     271.639936      0.100809        9.318755       
93              300.104000      2561.606097     271.944629      0.100832        9.419587       
94              296.844000      2591.519957     272.208189      0.100773        9.520360       
95              300.813000      2621.836493     272.507826      0.100782        9.621142       
96              295.603000      2651.628545     272.747246      0.100784        9.721926       
97              289.995000      2680.858592     272.924233      0.100795        9.822721       
98              292.041000      2710.299537     273.118436      0.100811        9.923532       
99              294.004000      2739.937198     273.328466      0.100807        10.024339      
100             302.508000      2770.428794     273.618949      0.100796        10.125135      
101             297.992000      2800.491419     273.859399      0.100884        10.226019      
102             295.402000      2831.828845     274.080586      0.106084        10.332103      
103             281.125000      2860.273635     274.148903      0.101182        10.433285      
104             299.800000      2890.601403     274.395225      0.101160        10.534445      
105             299.301000      2920.778725     274.631340      0.100826        10.635271      
106             303.170000      2951.323709     274.899160      0.100752        10.736023      
107             300.301000      2981.594951     275.135446      0.100803        10.836826      
108             294.070000      3013.520072     275.323250      0.108563        10.945389      
109             281.922000      3041.961491     275.383515      0.100884        11.046273      
110             298.525000      3073.439162     275.602328      0.105444        11.151717      
111             300.379000      3103.818292     275.825010      0.101136        11.252853      
112             300.364000      3134.167972     276.043393      0.101043        11.353896      
113             299.095000      3164.384941     276.246699      0.101028        11.454924      
114             285.052000      3193.119893     276.323512      0.100806        11.555730      
115             296.635000      3223.008243     276.499083      0.100758        11.656488      
116             298.258000      3253.071158     276.685622      0.100795        11.757283      
117             303.747000      3283.686425     276.915640      0.100792        11.858075      
118             300.754000      3314.006940     277.116600      0.100815        11.958890      
119             297.252000      3343.965483     277.284876      0.100785        12.059675      
120             282.907000      3372.484489     277.331481      0.100807        12.160482      
121             299.363000      3402.643515     277.512503      0.100744        12.261226      
122             299.204000      3432.806270     277.689393      0.100810        12.362036      
123             298.863000      3462.936741     277.860675      0.100817        12.462853      
124             299.486000      3493.130920     278.034212      0.100820        12.563673      
125             281.615000      3521.520246     278.062715      0.100809        12.664482      
126             295.175000      3551.271230     278.197829      0.100791        12.765273      
127             301.431000      3583.206940     278.389068      0.105947        12.871220      
128             303.799000      3613.951398     278.587295      0.101200        12.972420      
129             294.322000      3643.628180     278.708653      0.100831        13.073251      
130             298.201000      3673.728887     278.858004      0.100941        13.174192      
131             283.809000      3702.416301     278.895702      0.101080        13.275272      
132             297.430000      3732.404383     279.035406      0.100824        13.376096      
133             298.708000      3762.508474     279.182519      0.100781        13.476877      
134             298.298000      3792.575719     279.324426      0.100796        13.577673      
135             299.227000      3822.737801     279.471093      0.100800        13.678473      
136             294.071000      3852.443089     279.578121      0.101014        13.779487      
137             287.519000      3881.426154     279.635791      0.100804        13.880291      
138             300.909000      3911.756578     279.789159      0.100796        13.981087      
139             298.254000      3941.824160     279.921349      0.100812        14.081899      
140             298.838000      3971.985282     280.055964      0.100928        14.182827      
141             285.212000      4000.718109     280.092329      0.100742        14.283569      
142             295.688000      4030.509858     280.201568      0.100754        14.384323      
143             296.777000      4060.414889     280.316875      0.100766        14.485089      
144             300.556000      4092.365194     280.464325      0.106304        14.591393      
145             298.479000      4122.627980     280.588639      0.101390        14.692783      
146             299.448000      4152.910557     280.717557      0.101128        14.793911      
147             284.719000      4181.605107     280.744632      0.100782        14.894693      
