dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137731,7795918572.427835,0.128272,0.017030,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137984,7781662812.737473,0.128507,0.016361,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.138420,7757131868.928258,0.128914,0.015880,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137663,7799776829.257544,0.128209,0.017061,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.156304,6869580888.309574,0.145569,0.019150,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137650,7800495327.286225,0.128197,0.014980,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.139760,7682740097.846032,0.130162,0.019471,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137968,7782529460.962458,0.128493,0.016351,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.138720,7740330346.262383,0.129193,0.017280,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.139805,7680301674.980030,0.130203,0.016860,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.139997,7669754152.325976,0.130382,0.016800,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.138091,7775627451.146928,0.128607,0.017500,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137929,7784752474.047117,0.128456,0.019020,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137661,7799919480.789432,0.128206,0.016660,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.137329,7818770203.127652,0.127897,0.017690,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,1,0,67108864,1,0.138442,7755904978.566891,0.128934,0.016211,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.158714,6765268506.508743,0.147814,0.017500,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.157839,6802761463.651705,0.146999,0.018540,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.160208,6702173247.523666,0.149205,0.016780,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.158500,6774380713.865539,0.147615,0.019400,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.158001,6795775262.170178,0.147150,0.018301,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.158073,6792712408.071975,0.147217,0.016871,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.160029,6709657824.958809,0.149039,0.017261,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.157757,6806318544.648680,0.146922,0.016910,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.159063,6750413855.398701,0.148139,0.019030,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.158174,6788339068.940446,0.147311,0.019540,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,2,0.157666,6810229305.457833,0.146838,0.015800,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1,0.194021,5534158381.809320,0.180696,0.015391,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1,0.190608,5633257142.057158,0.177517,0.018691,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1,0.191343,5611594059.886833,0.178202,0.016480,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1,0.191238,5614688435.295884,0.178104,0.016850,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1,0.191887,5595698827.360426,0.178709,0.018440,0.003080,0.000000
CPU AMAX-H100,[CPU] HRMQ,16,2,0,67108864,1,0.191743,5599913622.569273,0.178574,0.017450,0.003080,0.000000
