dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014314,75012865706.413773,0.013331,0.295390
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014327,74947762014.150818,0.013343,0.300448
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014321,74976000675.151917,0.013338,0.294169
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014316,75003960830.503830,0.013333,0.301067
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014337,74894820751.822205,0.013352,0.303646
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014317,74998410095.032242,0.013334,0.301224
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014331,74924026660.859253,0.013347,0.302182
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014331,74925008893.485764,0.013347,0.295177
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014331,74926125778.118027,0.013346,0.302839
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014313,75018298619.135757,0.013330,0.291912
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014325,74956314215.685135,0.013341,0.291762
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014741,72840311551.515839,0.013729,0.300915
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014310,75036482358.369308,0.013327,0.306624
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014321,74977183989.031845,0.013337,0.290926
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014328,74942409149.552612,0.013344,0.301490
NVIDIA GeForce RTX 3090 Ti,LCA,16,2,0,67108864,2,0.014339,74881570974.295441,0.013354,0.289199
