dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015303,70165098749.181839,0.014252,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015424,69615827250.998428,0.014365,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015304,70161111139.385880,0.014253,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015345,69974142494.601318,0.014291,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015311,70127566709.803146,0.014260,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015372,69851511200.105026,0.014316,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015485,69342475539.676788,0.014421,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015418,69644187811.482025,0.014359,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015371,69857058687.046066,0.014315,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015460,69451335443.539490,0.014399,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015437,69558595219.146591,0.014376,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015547,69063224773.955719,0.014479,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015359,69909404435.818451,0.014304,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015331,70037728363.983719,0.014278,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015387,69781779104.091125,0.014330,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,1,0,67108864,1,0.015498,69284353115.689987,0.014433,0.000000,0.000004,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015299,70182794862.675339,0.014249,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015404,69703636435.275879,0.014346,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015373,69845011359.981186,0.014317,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015305,70156205951.733231,0.014254,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015380,69811997857.996338,0.014324,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015371,69855780086.529846,0.014315,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015377,69829793467.321121,0.014321,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015300,70177024931.614883,0.014250,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015380,69813538919.369171,0.014324,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015373,69847875473.779373,0.014317,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015347,69965345857.619553,0.014293,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015352,69940785255.285065,0.014298,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015364,69885928504.847198,0.014309,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015424,69614337948.215317,0.014365,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015349,69954134765.177643,0.014295,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,2,0.015367,69875011712.094574,0.014311,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015376,69830248218.526825,0.014320,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015435,69564904317.054352,0.014375,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015541,69088775300.114868,0.014474,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015303,70163262293.629318,0.014252,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015356,69925065268.220566,0.014301,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015381,69810456864.656677,0.014325,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015300,70178674011.438263,0.014249,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015374,69843109302.249603,0.014318,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015352,69940733118.752151,0.014298,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015355,69929212851.437897,0.014300,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015301,70176241973.899353,0.014250,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015687,68449572185.130363,0.014609,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015328,70051162852.673721,0.014275,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015359,69911726849.764160,0.014304,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015467,69423046088.090515,0.014404,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,2,0,67108864,1,0.015571,68959568328.784348,0.014501,0.000000,0.000008,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015343,69983994048.384125,0.014289,0.000000,0.000016,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,16,4,0,67108864,4,0.015373,69845059021.072571,0.014317,0.000000,0.000016,0.000000
