dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022232,48298191352.595016,0.020705,0.304110
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022652,47401980822.915298,0.021096,0.278544
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022656,47393157522.031105,0.021100,0.293732
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022655,47395962584.448883,0.021099,0.285287
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022665,47373411780.577484,0.021109,0.304697
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022661,47383731274.612968,0.021104,0.309363
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022651,47402807053.197411,0.021096,0.301015
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022654,47396880386.775414,0.021098,0.294019
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022661,47382837910.390327,0.021105,0.278969
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022674,47354905375.672775,0.021117,0.299185
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022657,47391717213.596794,0.021101,0.297647
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022659,47387680028.905853,0.021103,0.276239
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022654,47396644947.136841,0.021099,0.305619
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022666,47371338854.195984,0.021110,0.303760
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022666,47372821775.369072,0.021109,0.303307
NVIDIA TITAN RTX,LCA,16,2,0,67108864,2,0.022656,47392638841.317192,0.021100,0.296240
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022656,47392395464.280258,0.021100,0.297940
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022669,47365838505.936188,0.021112,0.307877
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022699,47304504606.071121,0.021140,0.302932
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022666,47372032467.058739,0.021110,0.296413
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022656,47393017876.106667,0.021100,0.275712
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022640,47426844195.985138,0.021085,0.307525
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022656,47394123096.368477,0.021100,0.302482
NVIDIA TITAN RTX,LCA,16,2,0,67108864,1,0.022654,47396808557.485191,0.021098,0.301540
