dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185196,11595745071.253063,0.086239,0.313715
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185179,11596776044.931757,0.086231,0.295149
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185196,11595753669.904675,0.086238,0.290441
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185155,11598271712.562107,0.086220,0.284260
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185180,11596760755.753143,0.086231,0.313615
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185189,11596196995.442762,0.086235,0.358389
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185168,11597467922.451982,0.086226,0.328091
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185137,11599439843.981535,0.086211,0.336938
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185213,11594696131.428892,0.086246,0.285501
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185142,11599143487.223324,0.086213,0.291123
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185201,11595425019.403198,0.086241,0.325908
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185125,11600164547.844154,0.086206,0.287054
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185223,11594068577.851639,0.086251,0.329194
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185228,11593708505.482849,0.086254,0.291542
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185116,11600730606.455872,0.086201,0.285701
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,1,1,67108864,-1,0.185147,11598774496.426517,0.086216,0.291382
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238376,9008820554.158484,0.111002,0.289779
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238390,9008281978.168512,0.111009,0.326910
NVIDIA A100-SXM4-40GB,[GPU] RTX_blocks,32,2,2,67108864,-1,0.238375,9008853424.371361,0.111002,0.292724
