dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.905149,1186260084.531331,0.842985,3.400726
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.907235,1183532524.963513,0.844928,3.396934
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.826343,1299389292.340073,0.769592,3.423004
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.931870,1152244078.005942,0.867872,6.114648
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.914665,1173917763.927581,0.851848,3.366241
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.812013,1322321672.573105,0.756246,6.102771
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.837344,1282318374.185612,0.779838,3.388750
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.934314,1149229598.673827,0.870148,3.366024
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.854885,1256008030.342640,0.796173,3.333169
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.858277,1251043755.305768,0.799333,3.376989
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.750708,1430304611.692991,0.699152,3.367633
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.952741,1127002457.855154,0.887310,3.494777
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,1.049192,1023398417.287106,0.977137,3.359769
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.942709,1138995844.147496,0.877966,3.654845
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.810847,1324222104.475894,0.755160,3.371713
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.915221,1173204722.620311,0.852366,3.364500
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,1.222733,878149028.201803,1.138759,6.091514
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,1.115155,962863380.721196,1.038569,6.320681
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,1.135264,945807911.219727,1.057297,6.068209
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,1.081704,992639583.353985,1.007415,6.095561
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,1.089737,985321709.536146,1.014897,6.077833
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,1.370254,783607997.581852,1.276148,6.080693
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,122,67108864,-1,2.794258,384267270.971440,2.602355,6.178518
