dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.408414,762376660.895570,1.311688,8.564991
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.294812,829264332.866728,1.205888,5.399886
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.403432,765082762.814414,1.307048,5.416346
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.929192,556575886.080068,1.796700,5.341211
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.543237,695772610.864490,1.437251,5.418557
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.699634,631748973.236205,1.582907,5.378744
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.657686,647735480.926947,1.543840,5.378580
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.636711,656036273.306475,1.524306,5.356768
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.607545,667938973.850344,1.497143,5.378002
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.503847,713996697.289463,1.400567,5.332427
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.439938,745686282.875253,1.341047,5.373893
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.523289,704883996.458308,1.418673,5.318287
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.509873,711147032.800138,1.406179,5.346702
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.705868,629440322.998222,1.588713,5.360635
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.322408,811959514.905290,1.231588,5.358450
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,1.283848,836346359.560286,1.195677,5.346680
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.520121,706352821.768414,1.415723,8.847598
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.871996,573581156.259044,1.743432,8.876440
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.529711,701924600.258567,1.424654,8.844440
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.722846,623237148.665499,1.604526,8.880127
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.697732,632456497.484042,1.581136,8.913163
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.758359,610650067.625378,1.637599,8.866365
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.761332,609619284.599514,1.640368,8.906268
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.629388,658984712.945594,1.517486,8.958664
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.848656,580823020.832018,1.721695,8.895728
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.648478,651353530.475633,1.535265,8.966855
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.539536,697445250.984707,1.433804,8.864703
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.644561,652904963.785015,1.531616,8.914425
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.665717,644612425.909599,1.551320,8.855793
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.689710,635459295.614836,1.573665,8.909784
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.671618,642336730.165854,1.556816,11.435272
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,1.702621,630640458.384443,1.585690,8.876945
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.871159,573837739.518651,1.742653,12.177887
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.611558,666275436.398448,1.500881,12.147704
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.890543,567954055.753954,1.760706,12.187222
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.988200,540057163.562589,1.851656,13.852262
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,2.107217,509554569.798100,1.962498,12.185257
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,2.125433,505187421.759265,1.979463,13.005404
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.810365,593107925.634924,1.686034,12.210639
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.658806,647297998.924567,1.544884,12.161170
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,16,3000000,32768,67108864,-1,1.870659,573991192.904876,1.742187,12.210608
