dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.352129,3049287548.469631,0.327945,2.172202
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.337420,3182216036.650087,0.314246,2.064019
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.339288,3164691476.770426,0.315987,1.989267
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.332640,3227941813.334018,0.309795,2.173702
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.352992,3041829387.962112,0.328750,2.090120
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.341763,3141774007.437703,0.318292,2.035188
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.346715,3096900983.115889,0.322903,1.968817
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.359786,2984387611.464393,0.335077,2.075919
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.373170,2877353615.760247,0.347542,2.092690
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.376177,2854355664.565809,0.350342,1.988868
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.334110,3213735843.355783,0.311164,2.075239
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.345432,3108405016.440518,0.321708,2.060579
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.367461,2922059964.782839,0.342224,1.994767
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.357590,3002719529.199312,0.333031,2.068270
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.333047,3223998161.581040,0.310174,2.003428
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,61,67108864,-1,0.567002,1893717422.545225,0.528062,2.004026
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.416604,2577367800.782359,0.387993,3.604723
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.473619,2267099433.967754,0.441092,3.616674
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.457890,2344976185.509222,0.426444,3.598154
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.401123,2676841871.927739,0.373575,3.748247
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.430688,2493085317.674905,0.401109,3.611984
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.472357,2273157014.917952,0.439917,3.597114
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.420493,2553529982.637138,0.391615,3.733157
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.819351,1310477740.097587,0.763080,3.601934
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.436366,2460643828.707879,0.406398,3.736746
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.431683,2487336491.120471,0.402036,3.781589
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.972734,1103838536.860677,0.905930,3.724987
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.388698,2762405280.926909,0.362003,3.645974
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.433125,2479055331.574160,0.403379,3.665285
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.445270,2411439583.421912,0.414690,3.619283
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.449513,2388680290.420912,0.418641,3.724676
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,122,67108864,-1,0.871616,1231897319.196261,0.811756,3.684155
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,183,67108864,-1,0.547717,1960396011.453798,0.510101,5.512649
