dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.572944,1874079633.311520,0.533595,4.600387
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.606731,1769715672.955737,0.565063,2.919450
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.649251,1653816885.188042,0.604662,2.918679
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.614241,1748079492.300761,0.572056,2.923391
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.585845,1832809956.371833,0.545610,2.903439
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.629967,1704442261.700429,0.586702,2.989642
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.633810,1694106958.766959,0.590282,2.913311
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.518277,2071752154.126744,0.482683,2.837637
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.592282,1812890496.617303,0.551605,2.845708
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.672918,1595651120.668751,0.626703,2.917720
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.605309,1773873102.301645,0.563738,2.902269
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.554897,1935029162.008361,0.516788,2.842248
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.622207,1725699480.580544,0.579475,2.918340
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.593009,1810667825.365447,0.552282,2.810217
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.626954,1712633600.403738,0.583896,2.798718
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,32768,67108864,-1,0.483948,2218715184.835610,0.450711,2.825577
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,0.612928,1751822933.562977,0.570834,5.208373
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,0.711656,1508793314.690544,0.662781,5.107041
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,0.651979,1646895243.462222,0.607203,5.143921
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,0.569045,1886919261.948646,0.529964,5.215623
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,0.606824,1769445646.388597,0.565149,5.048948
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,32768,67108864,-1,0.687492,1561825008.060377,0.640277,5.067529
