dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.449353,2389529381.571289,0.418492,4.090954
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.408694,2627251644.783862,0.380626,2.206671
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.424104,2531787658.833707,0.394978,2.262223
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.549464,1954163405.346544,0.511728,2.186631
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.463092,2318633592.274467,0.431288,2.181851
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.441429,2432424916.082573,0.411112,2.310144
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.433300,2478057484.411729,0.403542,2.183761
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.486482,2207154827.779068,0.453072,2.260043
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.498584,2153581738.673969,0.464343,2.182252
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.446259,2406094121.765238,0.415611,2.273525
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.461828,2324983140.603230,0.430111,2.168161
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.460469,2331842837.471729,0.428845,2.272464
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.467570,2296431567.456703,0.435458,2.264373
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.459214,2338217022.632165,0.427676,2.282873
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.461702,2325617057.255156,0.429993,2.256953
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,1000000,1953,67108864,-1,0.531381,2020664504.025952,0.494887,2.281113
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.603796,1778317916.698736,0.562329,4.230957
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.700375,1533096258.238584,0.652275,4.245668
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.614937,1746099634.061009,0.572705,4.082453
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.616308,1742215625.268356,0.573982,4.266058
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.622141,1725882663.040180,0.579414,4.251639
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.728995,1472906620.065528,0.678930,4.236037
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.605797,1772444764.518916,0.564192,4.228486
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.606306,1770956860.705729,0.564666,4.215168
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.616395,1741971691.122138,0.574062,4.220707
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.631636,1699938025.624420,0.588257,4.135625
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.612060,1754308645.404841,0.570025,4.239657
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.650035,1651821622.467165,0.605392,4.241648
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.608210,1765413971.692461,0.566439,4.150555
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.590305,1818960544.567371,0.549765,4.098203
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.683321,1571357475.616259,0.636392,4.099783
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,2000000,3906,67108864,-1,0.638963,1680445535.390953,0.595080,4.302880
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.735537,1459806581.359167,0.685022,5.951037
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.884235,1214317449.569361,0.823508,5.982757
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.709000,1514445058.810758,0.660308,5.904355
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.657486,1633102887.217392,0.612331,6.044150
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.700141,1533607329.750944,0.652057,6.060229
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.834707,1286369782.827657,0.777381,5.877244
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.658900,1629597637.999162,0.613648,5.900903
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.707290,1518106677.658499,0.658715,6.065029
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.685828,1565614552.338025,0.638727,5.889183
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.964187,1113624028.274306,0.897969,5.912364
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.933184,1150621742.166002,0.869095,5.924315
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.724695,1481646129.544968,0.674925,6.043477
NVIDIA GeForce RTX 4090,[GPU] RTX_blocks,16,3000000,5859,67108864,-1,0.749445,1432715377.748126,0.697975,5.969535
