dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.412648,2602077593.869267,0.384308,363.875061,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.415314,2585374323.018619,0.386791,360.788269,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.426282,2518855932.101572,0.397006,359.059204,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.424670,2528413965.116247,0.395505,361.132477,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.425795,2521736494.283795,0.396552,361.659454,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.419225,2561252561.031257,0.390434,359.197296,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.415435,2584623379.004667,0.386904,359.861389,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.422288,2542674080.083125,0.393287,361.288971,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.424301,2530614406.083077,0.395161,359.898407,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.441221,2433569968.638792,0.410919,360.199738,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.417366,2572663566.217125,0.388702,359.709808,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.433150,2478914030.194466,0.403402,359.548615,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.444520,2415508527.259897,0.413992,359.786530,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.418084,2568244333.982687,0.389371,359.159149,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.437746,2452887448.195954,0.407683,361.333618,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,1000000,512,67108864,-1,0.439501,2443091959.652469,0.409317,360.448547,79.934720,0.166016
NVIDIA RTX 6000 Ada Generation,[GPU] RTX_ias,16,2000000,512,67108864,-1,0.514175,2088278951.376924,0.478863,772.969360,159.849472,0.330240
