dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,2.287160,469465029.132463,2.130084,8.306833
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,3.144427,341474532.550844,2.928476,7.516048
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.617775,663715319.408337,1.506670,7.475338
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.423059,754530676.520868,1.325327,7.483849
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,2.342252,458422805.730954,2.181392,7.529005
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.746506,614794286.681779,1.626560,7.464279
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.808291,593788256.254051,1.684102,7.548435
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.753714,612267439.306778,1.633273,7.460824
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,2.423618,443032586.535901,2.257170,7.450422
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,2.700646,397586995.291474,2.515173,7.472176
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,2.107639,509452397.876493,1.962892,7.431540
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.274187,842687860.566716,1.186679,7.434946
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,2.306687,465490953.991712,2.148269,7.523925
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.557087,689583798.104292,1.450150,7.514917
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.695239,633386642.250864,1.578814,7.445535
NVIDIA TITAN RTX,[GPU] RTX_cast,16,1000000,1000000,67108864,-1,1.584415,677689797.340689,1.475601,7.451202
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,3.962947,270945305.180126,3.690782,15.036665
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,2.842299,377772255.653081,2.647098,14.826694
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,2.979482,360378699.361633,2.774859,14.987823
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,3.004524,357375057.670932,2.798181,15.007734
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,3.323078,323116611.985795,3.094858,15.000004
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,3.254591,329916098.160328,3.031074,15.010951
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,2.737719,392203150.799447,2.549699,15.030798
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,2.867726,374422793.193784,2.670778,15.005124
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,3.118887,344270782.710212,2.904690,15.105548
NVIDIA TITAN RTX,[GPU] RTX_cast,16,2000000,2000000,67108864,-1,3.271885,328172261.835417,3.047180,15.168746
