dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190488,11273598829.854855,0.088703,0.205064
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190486,11273704488.561119,0.088702,0.276247
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190482,11273947420.790415,0.088700,0.213093
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190485,11273742417.810556,0.088702,0.209315
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190487,11273667462.635223,0.088702,0.281475
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190499,11272941442.402203,0.088708,0.222732
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190490,11273496785.292126,0.088704,0.273222
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190492,11273374876.068203,0.088705,0.208716
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190500,11272908936.220823,0.088708,0.278509
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190492,11273366748.880354,0.088705,0.299731
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.191137,11235311436.618189,0.089005,0.280628
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190492,11273366748.880354,0.088705,0.210491
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.191139,11235195733.337761,0.089006,0.217438
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.190495,11273154543.122948,0.088706,0.207903
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.188592,11386917882.005833,0.087820,0.239081
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,1,1,67108864,-1,0.187961,11425168547.812593,0.087526,0.282356
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190314,11283883190.348251,0.088622,0.211721
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190306,11284398896.213751,0.088618,0.211118
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190964,11245498173.139496,0.088924,0.241981
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190316,11283805386.187233,0.088623,0.209844
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190298,11284840450.270123,0.088614,0.206954
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190299,11284759918.367889,0.088615,0.207226
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190297,11284895646.956877,0.088614,0.280098
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190303,11284520139.172995,0.088617,0.209268
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190303,11284530996.878536,0.088617,0.209830
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190331,11282908906.347860,0.088630,0.279702
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190302,11284634146.123306,0.088616,0.207125
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190303,11284537330.549755,0.088617,0.284132
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190321,11283504131.358561,0.088625,0.206980
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190317,11283703156.769545,0.088623,0.277456
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190325,11283224602.977818,0.088627,0.216445
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,2,2,67108864,-1,0.190945,11246589132.114300,0.088916,0.281659
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192057,11181488986.769951,0.089434,0.283121
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192716,11143251000.177120,0.089740,0.216639
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192671,11145873799.381937,0.089719,0.214033
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.195309,10995324158.107365,0.090948,0.211873
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192686,11145014105.364471,0.089726,0.282561
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.194485,11041891628.523550,0.090564,0.217608
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192067,11180932012.168159,0.089438,0.207630
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193561,11094594048.411732,0.090134,0.211445
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.198688,10808340553.383089,0.092521,0.212813
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192077,11180322690.440701,0.089443,0.201225
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193233,11113415986.226509,0.089981,0.280796
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193222,11114059287.569927,0.089976,0.283496
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192687,11144945264.967052,0.089727,0.280088
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193226,11113846015.707335,0.089978,0.213112
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.192674,11145703438.798986,0.089721,0.279342
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,4,4,67108864,-1,0.193221,11114120725.427515,0.089976,0.209950
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.194379,11047918422.872314,0.090515,0.291951
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.194747,11027024869.489769,0.090686,0.221268
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.193809,11080435632.127380,0.090249,0.297120
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.193651,11089467721.684221,0.090176,0.223200
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.204687,10491530204.787382,0.095315,0.281534
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.194025,11068099150.620140,0.090350,0.216867
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_cast,32,8,8,67108864,-1,0.195584,10979834578.305897,0.091076,0.220065
