dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000666,48056.705151,20808.750764,60.973690
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000735,43547.132652,22963.624448,60.864136
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000650,49210.933577,20320.687443,60.809433
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000679,47096.637378,21232.938394,60.701900
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000787,40641.785289,24605.218321,60.686150
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000688,46493.383795,21508.436650,61.018047
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000805,39726.879150,25171.874091,60.720043
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000810,39525.642444,25300.031528,60.664619
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000694,46128.720452,21678.468212,60.908005
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000819,39066.696482,25597.250089,60.646221
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000880,36358.058717,27504.218742,60.771873
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000652,49082.840947,20373.718813,60.705666
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000731,43791.163967,22835.657001,60.733814
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000711,45024.382078,22210.188210,60.823952
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000726,44076.891866,22687.625140,61.091572
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000777,41160.732052,24295.000359,60.750389
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000733,87263.845292,11459.499598,60.763535
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000768,83303.935180,12004.234828,60.822300
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000785,81536.348934,12264.468707,60.743263
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000778,82240.013995,12159.531005,60.686840
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000715,89555.458250,11166.265234,60.851189
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000761,84151.063811,11883.391067,60.940788
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000766,83546.658645,11969.359592,60.693214
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000752,85075.272798,11754.296720,60.773636
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000833,76826.581463,13016.328216,60.738354
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000648,98689.587519,10132.781230,60.757160
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000751,85213.466140,11735.234410,60.672920
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000732,87401.007095,11441.515759,60.695789
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000747,85633.853571,11677.624658,60.749264
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000778,82243.711630,12158.984318,60.786747
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000696,91910.844561,10880.108923,60.722641
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000817,78315.532858,12768.859044,60.752640
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000728,175716.049212,5690.999795,60.806965
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000855,149663.141977,6681.671832,60.635857
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000829,154478.367217,6473.398302,61.414482
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000733,174673.922420,5724.953022,60.693604
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000891,143636.243777,6962.031126,60.790154
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000740,173029.094812,5779.374857,60.788319
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000960,133379.463083,7497.406099,60.895386
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000710,180182.209693,5549.937487,60.699543
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000820,156049.411251,6408.226676,60.959072
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000913,140198.993863,7132.718805,61.757713
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000782,163622.189944,6111.640483,60.789722
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000768,166644.963055,6000.781432,60.766193
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000798,160500.760806,6230.500061,60.837353
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000787,162569.208680,6151.226349,60.769356
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000927,138082.208890,7242.062595,60.894604
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000864,148083.529262,6752.945483,60.768070
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000851,300710.192284,3325.460944,60.890205
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000782,327226.802662,3055.984387,60.886345
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001016,251851.004398,3970.601596,60.887089
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000963,265962.421051,3759.929677,61.662647
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000763,335672.557407,2979.093697,60.847324
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000819,312738.591217,3197.558690,60.939659
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000950,269397.406790,3711.988218,60.852821
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000772,331519.466477,3016.414121,61.003849
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000940,272300.454615,3672.413994,60.842274
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000882,290310.320506,3444.589907,60.896347
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000756,338705.420645,2952.418057,61.058365
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000835,306475.982875,3262.898419,61.069527
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000905,282884.805203,3535.007825,60.810154
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000888,288256.475719,3469.132818,60.964699
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000758,337791.026173,2960.410202,60.886353
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000789,324598.748755,3080.726601,60.836884
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.000980,522280.039813,1914.681634,60.962467
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.000886,577957.669896,1730.230520,60.978451
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.000789,649142.354148,1540.494151,60.887688
