dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000766,41757.139174,23948.000744,61.301788
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000644,49680.415380,20128.656179,61.511295
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000713,44904.277111,22269.593552,61.467926
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000751,42607.869224,23469.842970,61.915977
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000877,36467.818684,27421.437204,61.400375
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000705,45388.203196,22032.156587,61.401134
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000710,45078.041715,22183.749825,61.231758
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000753,42480.262659,23540.344089,61.319176
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000677,47233.377552,21171.469241,61.389759
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000825,38777.255752,25788.312778,61.354420
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000664,48227.926264,20734.874532,61.339878
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000776,41250.242183,24242.281914,61.318176
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000723,44237.081747,22605.469450,61.305511
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000717,44658.433232,22392.187268,61.440399
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000730,43861.812690,22798.875347,61.375244
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000737,43430.405860,23025.343195,61.498676
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000673,95046.305851,10521.187447,62.288910
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000787,81321.578606,12296.859175,61.364521
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000821,77961.884317,12826.780789,61.403355
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000717,89307.892374,11197.218671,61.350029
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000751,85217.780926,11734.640226,61.269054
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000738,86693.262007,11534.921825,61.310337
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000880,72739.092525,13747.765683,61.331017
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000760,84190.474607,11877.828278,63.129410
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000772,82927.009697,12058.797292,61.347454
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000900,71094.049851,14065.874740,61.277943
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000841,76064.697742,13146.703131,61.320930
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000823,77739.998252,12863.391079,61.811779
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000738,86662.621761,11539.000086,61.398842
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000775,82626.274609,12102.687731,61.498699
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000776,82486.769290,12123.156339,61.324123
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000906,70672.628465,14149.749652,61.271671
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000816,156906.014007,6373.242009,61.277763
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000859,148996.949615,6711.546797,61.727440
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000784,163256.982054,6125.312299,61.434929
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000805,159104.836994,6285.164040,61.427895
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000721,177544.500597,5632.390734,61.337662
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000813,157453.390545,6351.085845,61.436565
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000777,164675.766705,6072.538905,61.288841
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000782,163662.978969,6110.117305,61.368359
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000905,141400.837521,7072.093897,61.317379
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000789,162326.339579,6160.429679,61.232964
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000764,167628.562563,5965.570454,61.338585
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000957,133811.426330,7473.203354,61.440609
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000844,151653.373185,6593.984552,61.194233
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000952,134515.385326,7434.093859,61.271076
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000872,146792.867432,6812.320091,61.378559
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000760,168336.877619,5940.468982,61.308559
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000857,298756.890311,3347.203135,61.186661
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000959,266965.892190,3745.796857,61.274429
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000850,301050.727329,3321.699332,61.417980
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000995,257242.743828,3887.378844,61.328213
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000772,331775.967094,3014.082089,61.390602
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000870,294113.252474,3400.050802,62.010647
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000810,315973.303841,3164.824331,61.279030
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000782,327366.150890,3054.683562,61.257092
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000779,328420.293699,3044.878831,61.314140
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000878,291588.018499,3429.496195,61.373138
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000824,310581.995754,3219.761653,61.259048
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000813,315028.460673,3174.316371,61.295654
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000806,317598.562122,3148.628864,61.312244
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000843,303803.113146,3291.605506,61.415802
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.000804,318537.503163,3139.347769,61.289497
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001011,253126.014928,3950.601444,62.461365
NVIDIA GeForce RTX 3090 Ti,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.000809,632772.952411,1580.345677,61.485085
