dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.088599,24238328010.386463,0.041257,0.178557
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083458,25731295566.670959,0.038863,0.175021
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083456,25731918928.076229,0.038862,0.153820
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083463,25729837254.198200,0.038865,0.178767
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083457,25731737797.309673,0.038863,0.150222
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083458,25731243817.270538,0.038863,0.158418
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083456,25731827186.200443,0.038862,0.167896
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083457,25731629590.535992,0.038863,0.152728
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083459,25730994482.167843,0.038864,0.153809
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083475,25725966471.621460,0.038871,0.209255
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083465,25729213993.645645,0.038866,0.208081
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083462,25730164184.070671,0.038865,0.152527
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083458,25731159136.882465,0.038863,0.155773
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083459,25730860407.742504,0.038864,0.172585
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083462,25730227689.398029,0.038865,0.150663
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,1,1,67108864,-1,0.083458,25731286157.673584,0.038863,0.159411
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085136,25224045887.170116,0.039645,0.169600
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085134,25224821236.066620,0.039643,0.157007
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085134,25224823496.628716,0.039643,0.177053
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085125,25227267401.228352,0.039640,0.159831
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085128,25226672772.152870,0.039641,0.180590
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085129,25226299730.198532,0.039641,0.158097
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085134,25224687863.620079,0.039644,0.167095
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085130,25225809140.302921,0.039642,0.157166
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085136,25224158908.822914,0.039645,0.187323
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085137,25223722650.833660,0.039645,0.158358
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085129,25226155038.107071,0.039641,0.167346
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085131,25225775229.264072,0.039642,0.176131
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085131,25225732275.412415,0.039642,0.152688
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085125,25227436977.394386,0.039639,0.159580
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085124,25227832663.981018,0.039639,0.157406
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,2,2,67108864,-1,0.085123,25228083648.763741,0.039638,0.155352
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085746,25044632943.894501,0.039929,0.158287
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085739,25046701052.718430,0.039925,0.159109
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.088749,24197219342.806648,0.041327,0.160033
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086856,24724564656.193996,0.040446,0.158228
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086887,24715737317.166840,0.040460,0.167446
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086140,24930067972.639141,0.040112,0.157857
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085748,25044053578.099640,0.039930,0.159341
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085719,25052503831.919159,0.039916,0.161605
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086025,24963575810.535248,0.040058,0.158610
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085722,25051823766.749367,0.039917,0.164701
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086142,24929513766.668587,0.040113,0.184418
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086862,24723051012.330391,0.040448,0.182344
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085023,25257537775.997318,0.039592,0.158568
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.086657,24781526948.116165,0.040353,0.160983
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085038,25253243622.128365,0.039599,0.206790
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,4,4,67108864,-1,0.085036,25253678636.149258,0.039598,0.177394
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.085923,24993140856.075279,0.040011,0.184158
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.086560,24809220993.539070,0.040308,0.180410
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.085742,25045889814.150627,0.039927,0.199326
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.086504,24825314503.458038,0.040281,0.162275
NVIDIA GeForce RTX 4090,[GPU] RTX_cast,32,8,8,67108864,-1,0.086526,24818907420.477516,0.040292,0.202192
