dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224975,9545435997.999994,0.104762,0.256855
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.223569,9605447421.612616,0.104108,0.230154
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.237154,9055237507.041548,0.110433,0.226738
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225303,9531533648.379011,0.104915,0.225347
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.222947,9632271735.610296,0.103818,0.223734
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225974,9503225026.685875,0.105227,0.233530
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224664,9558629721.140169,0.104618,0.294807
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.221374,9700712337.199856,0.103085,0.221460
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225539,9521550036.105816,0.105025,0.221257
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224897,9548744780.058304,0.104726,0.226507
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.220988,9717659351.178820,0.102905,0.220840
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225159,9537617121.021402,0.104848,0.222818
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.221524,9694149321.172058,0.103155,0.226215
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.231500,9276388471.243671,0.107801,0.220127
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.222334,9658812743.363016,0.103532,0.227977
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.221418,9698757604.834661,0.103106,0.240575
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228361,9403879256.641148,0.106339,0.212764
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.226611,9476501698.166889,0.105524,0.301975
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.233639,9191469842.136137,0.108797,0.239347
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.229547,9355314550.667206,0.106891,0.239651
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.225731,9513481470.810755,0.105114,0.214681
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228754,9387731945.474941,0.106522,0.239059
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228879,9382614942.606159,0.106580,0.228641
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.226094,9498183296.972338,0.105283,0.227579
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228949,9379759708.536327,0.106613,0.225867
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228694,9390207331.880363,0.106494,0.223871
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.225395,9527635602.346193,0.104958,0.224823
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228876,9382725660.134464,0.106579,0.230341
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.229095,9373755384.665716,0.106681,0.228781
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.225251,9533731535.877960,0.104891,0.259474
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.229729,9347916916.652607,0.106976,0.251086
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,2,67108864,-1,0.228150,9412598832.234253,0.106241,0.227711
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.229974,9337939200.353725,0.107090,0.224185
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.231060,9294053294.912825,0.107596,0.229804
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.228550,9396125484.866688,0.106427,0.232088
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.226676,9473789926.593176,0.105554,0.230337
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.230024,9335895677.253773,0.107113,0.304351
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.229225,9368438446.705154,0.106741,0.233315
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.227245,9450090682.290594,0.105819,0.231166
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.231201,9288384359.552555,0.107661,0.231017
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.226605,9476776725.696220,0.105521,0.228299
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.227266,9449195424.674053,0.105829,0.230923
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.229517,9356517422.342344,0.106877,0.228652
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,4,67108864,-1,0.227313,9447270973.116348,0.105851,0.231579
