dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000873,36639.388350,27293.032035,100.682251
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001025,31234.017777,32016.374171,100.660645
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000989,32357.386659,30904.844403,100.849091
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001039,30789.627377,32478.470355,100.254761
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000849,37704.947889,26521.718130,100.932251
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001006,31815.217351,31431.499869,100.581726
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000979,32700.543154,30580.531806,100.528938
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000969,33022.133778,30282.719061,100.668777
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000979,32673.698171,30605.657026,100.242439
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000903,35423.072114,28230.188414,100.656624
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001050,30489.023641,32798.688859,100.215950
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000988,32376.408290,30886.687338,100.768471
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000921,34757.673128,28770.625591,100.416344
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001032,31021.008295,32236.218452,100.341011
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000896,35726.685960,27990.281582,100.390076
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000991,32295.112352,30964.437872,100.370049
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000933,68623.653960,14572.234824,100.427124
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001192,53691.048230,18625.078723,100.796547
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001038,61647.765839,16221.188009,100.706436
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001017,62955.006132,15884.360299,100.652771
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000962,66539.617572,15028.640628,100.562553
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000952,67243.982377,14871.219173,100.691544
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001097,58320.516247,17146.624625,100.753090
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000965,66348.469077,15071.937814,100.599319
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000992,64532.911825,15495.968983,100.631653
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000989,64709.473135,15453.687869,100.384628
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000949,67442.679975,14827.406034,100.681427
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001051,60895.083961,16421.686858,100.388542
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000987,64834.682167,15423.843637,100.386002
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001038,61667.961431,16215.875745,100.505791
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000984,65030.339890,15377.437696,100.394318
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000962,66560.864245,15023.843385,100.552383
