dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001025,31205.293597,32045.844942,105.134094
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000990,32323.232012,30937.500298,102.982010
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000968,33072.611591,30236.499384,102.649216
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001125,28445.556684,35154.875368,104.702721
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001008,31740.614580,31505.376101,105.730255
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001102,29041.247838,34433.782101,104.787048
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001063,30090.375333,33233.217895,104.331421
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001046,30589.254926,32691.217959,103.162506
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001078,29682.426278,33689.968288,106.156815
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000964,33183.902617,30135.093257,104.012177
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001070,29916.216237,33426.687121,103.578522
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001025,31222.374320,32028.313726,103.211586
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001018,31443.017644,31803.563237,103.694138
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000995,32170.632356,31084.250659,105.703461
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000999,32024.081219,31226.500869,103.121872
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001118,28613.813573,34948.155284,108.728058
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001018,62876.644892,15904.156491,102.882668
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001144,55966.902993,17867.702991,106.576836
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001103,58044.830033,17228.063196,104.479393
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001230,52046.189351,19213.702530,102.703407
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000975,65639.342703,15234.765597,105.306152
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001037,61708.512914,16205.219552,102.376091
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001091,58644.363779,17051.937059,104.837982
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001256,50974.450153,19617.671147,105.310059
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001007,63561.361407,15732.828528,104.774315
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001078,59378.509456,16841.109842,102.654785
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001106,57889.529493,17274.281010,107.984612
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001050,60942.282069,16408.968717,109.280334
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001004,63771.062666,15681.093559,105.378548
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001054,60724.055913,16467.938200,103.153969
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001159,55229.547526,18106.250092,103.591492
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001239,51674.284794,19351.985306,105.960274
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001120,114308.574928,8748.250082,107.975998
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001129,113392.345042,8818.937466,103.619965
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001404,91174.714926,10967.953131,105.961288
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001012,126443.983505,7908.640429,104.524826
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001259,101656.685127,9837.031364,102.765366
