dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001078,29681.901142,33690.564334,103.682762
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000962,33280.673500,30047.468841,102.568611
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000938,34116.193507,29311.593622,104.645157
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001136,28172.832823,35495.188087,103.664268
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000975,32820.311378,30468.937010,102.983841
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001076,29750.229276,33613.186330,105.114006
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000995,32172.702886,31082.250178,104.483559
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001015,31523.243619,31722.623855,105.469788
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001276,25087.099897,39861.124009,102.825104
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001021,31347.347546,31900.625676,105.040260
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001042,30720.785176,32551.251352,103.050514
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001098,29148.279670,34307.342023,103.098351
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001106,28928.516344,34567.967057,105.258926
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000947,33789.348220,29595.125467,104.162933
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.000955,33490.880960,29858.874157,105.086014
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,1,-1,0.001193,26813.201100,37295.062095,107.043060
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001089,58788.137928,17010.234296,104.219795
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001021,62685.237323,15952.719375,102.537643
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001020,62735.259687,15939.999372,104.313202
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001014,63128.508928,15840.703622,109.705444
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001071,59735.594975,16740.437597,104.221436
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001005,63709.991690,15696.125105,106.755173
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001266,50549.170559,19782.718271,105.975479
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001054,60710.061465,16471.734270,104.630608
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001283,49873.485228,20050.734282,105.722054
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001168,54788.655470,18251.953647,102.946686
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001143,55998.093312,17857.750878,108.141541
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001136,56334.160151,17751.218751,104.180603
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001182,54153.673838,18465.967849,102.897766
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001043,61386.821848,16290.141270,102.561630
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.000992,64502.604033,15503.250062,106.120575
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,2,-1,0.001112,57566.380185,17371.250317,104.187202
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001139,112332.728781,8902.125061,103.755806
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001057,121070.992173,8259.616792,102.759796
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.000980,130596.118076,7657.195441,104.747704
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001373,93209.538896,10728.515685,102.655273
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001210,105754.447285,9455.867112,103.046074
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001116,114666.673217,8720.929734,106.284454
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001167,109655.980808,9119.429626,104.005074
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001001,127841.094126,7822.210900,103.010475
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001128,113483.222587,8811.875246,106.703789
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001305,98077.298013,10196.039453,105.042961
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001058,120968.815100,8266.593330,103.426338
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001256,101870.921657,9816.343896,107.572083
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001211,105719.856935,9458.960965,105.893509
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001253,102194.631455,9785.249829,104.763336
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001145,111815.878069,8943.273686,103.155533
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,4,-1,0.001347,95041.645065,10521.703400,106.014099
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001119,228708.040328,4372.386727,104.388741
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001177,217520.423323,4597.269464,103.299957
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001213,211011.332992,4739.081953,103.533646
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001187,215718.450673,4635.672085,110.898376
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001182,216519.778060,4618.515726,104.888199
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001208,211964.737880,4717.765842,104.666153
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001189,215244.697548,4645.875189,103.351761
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001122,228172.118419,4382.656422,105.788193
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001113,229994.517360,4347.929731,104.567459
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001206,212267.047917,4711.046815,107.750145
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001056,242404.732860,4125.331994,103.405891
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001067,240001.489529,4166.640807,110.303886
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001287,198850.395028,5028.906278,104.148483
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001460,175330.335726,5703.519564,103.281578
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001166,219612.608386,4553.472623,102.949135
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,8,-1,0.001369,186964.895256,5348.597653,108.202103
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001286,398081.122785,2512.050793,104.809013
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001191,429929.840922,2325.960901,103.489220
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001376,372014.628818,2688.066335,107.116386
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001323,386918.827595,2584.521426,104.625587
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001185,431892.567238,2315.390622,103.000183
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001106,462781.352840,2160.847653,103.604202
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001287,397760.125388,2514.078049,105.701042
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001220,419607.462876,2383.179730,105.345596
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001210,423009.039954,2364.015672,102.395195
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001228,416848.827530,2398.951212,106.517715
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001183,432816.649712,2310.447162,105.109512
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001278,400763.022775,2495.240187,103.936974
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001340,381961.267854,2618.066501,103.049919
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001219,419882.060244,2381.621161,105.168304
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001148,445963.485332,2242.336050,104.551834
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,16,-1,0.001173,436341.088648,2291.785087,103.165749
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001176,870943.854010,1148.179639,102.218437
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001313,780170.281135,1281.771460,105.254143
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001472,695816.208510,1437.161118,104.199837
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001194,857762.998179,1165.823196,103.165779
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001363,751153.308235,1331.286156,106.311432
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001230,832326.790846,1201.451174,104.521149
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001334,767365.354897,1303.160214,102.526230
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001239,826363.584083,1210.121089,105.788269
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001264,809951.617704,1234.641648,105.901474
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001257,814886.350189,1227.164990,105.157150
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001253,817269.948603,1223.585918,103.126823
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001415,723612.506006,1381.955110,104.599915
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001249,820155.331537,1219.281228,105.587524
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16777216,32768,32,-1,0.001175,871458.982782,1147.500938,107.173988
