dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.221064,9714310942.553328,0.102941,0.229480
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225365,9528929650.363695,0.104944,0.224220
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.223372,9613917104.158342,0.104016,0.223405
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224867,9550033552.289640,0.104712,0.223218
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224883,9549327243.882797,0.104719,0.224065
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.223052,9627731011.371584,0.103867,0.225357
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.236465,9081620299.630934,0.110113,0.227433
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224573,9562527185.493509,0.104575,0.223738
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.221565,9692353424.148233,0.103174,0.245962
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.232631,9231305214.365568,0.108327,0.229797
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225153,9537875022.962603,0.104845,0.223079
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224048,9584938231.096346,0.104330,0.222882
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.226290,9489966130.811478,0.105374,0.222758
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.224895,9548809566.737797,0.104725,0.225469
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.221397,9699674706.728680,0.103096,0.220666
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,1,1,67108864,-1,0.225956,9503978442.542549,0.105219,0.223133
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.460287,4665533811.546199,0.214338,0.232140
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.456078,4708586312.742028,0.212378,0.231160
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.458832,4680324797.701471,0.213660,0.231281
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.467545,4593102962.905446,0.217718,0.230577
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.463931,4628883735.499140,0.216035,0.226940
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.467506,4593485540.391017,0.217700,0.228164
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.455408,4715514707.425738,0.212066,0.230405
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.465609,4612207143.226040,0.216816,0.231927
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.467173,4596760442.884510,0.217545,0.228820
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.470208,4567090219.500337,0.218958,0.226011
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.461411,4654165531.169609,0.214861,0.232902
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.454721,4722635618.479936,0.211746,0.229296
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.500689,4289058845.186044,0.233151,0.228668
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.474958,4521421697.188618,0.221169,0.228396
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.466044,4607898261.766819,0.217019,0.231228
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,2,1,67108864,-1,0.464253,4625677244.736810,0.216185,0.239520
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.765608,2804937422.816566,0.356514,0.236839
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.784611,2737002687.719417,0.365363,0.237306
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.750768,2860383873.767222,0.349603,0.238229
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.764946,2807366393.491677,0.356206,0.241764
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.754913,2844675526.066740,0.351534,0.236526
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.790072,2718084463.583932,0.367906,0.243355
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.778239,2759414672.790164,0.362396,0.244095
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.760276,2824611502.722706,0.354031,0.241618
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.775600,2768804229.718609,0.361167,0.244888
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.806098,2664048789.559256,0.375369,0.258287
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.773528,2776219395.458423,0.360202,0.232952
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.781524,2747814543.600594,0.363926,0.244541
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.752565,2853552140.833442,0.350440,0.236614
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.761390,2820477819.099813,0.354550,0.250370
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.780638,2750934469.580267,0.363513,0.235033
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,4,1,67108864,-1,0.770181,2788283160.286468,0.358644,0.233291
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.779968,2753297273.285732,0.363201,0.266881
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.798165,2690526027.974170,0.371675,0.257076
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.777647,2761514397.163795,0.362120,0.262566
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.790523,2716533603.339176,0.368116,0.261630
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.808294,2656809458.760235,0.376391,0.258688
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.782064,2745916451.539270,0.364177,0.258239
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.802172,2677087502.707342,0.373540,0.264123
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.769396,2791127893.518137,0.358278,0.259148
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.795100,2700895981.817353,0.370248,0.260391
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.805240,2666885071.068962,0.374969,0.339638
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.794220,2703890058.400918,0.369838,0.261136
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.800920,2681270951.119600,0.372957,0.257946
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.779709,2754211536.523015,0.363080,0.267280
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.791352,2713688114.029227,0.368502,0.271207
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.769737,2789893600.656614,0.358437,0.257295
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,8,1,67108864,-1,0.787216,2727948624.242076,0.366576,0.257370
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.848364,2531322816.495066,0.395050,0.290750
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.843275,2546600294.077111,0.392680,0.291321
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.822268,2611659595.389442,0.382898,0.291470
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.850296,2525572158.993365,0.395950,0.289568
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.836923,2565928779.516602,0.389722,0.288629
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.872506,2461281059.237310,0.406292,0.292642
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.845074,2541176833.878532,0.393518,0.285499
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.838077,2562394310.824669,0.390260,0.289759
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.845030,2541310271.159936,0.393498,0.294585
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.844938,2541586367.465554,0.393455,0.341482
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.824840,2603514551.255670,0.384096,0.288977
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.847680,2533365424.077316,0.394732,0.285171
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.833060,2577824967.713933,0.387924,0.293222
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.836031,2568664326.841849,0.389307,0.300526
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.848610,2530588924.534960,0.395165,0.367539
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,16,1,67108864,-1,0.850274,2525636155.382120,0.395940,0.290177
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.836210,2568116113.534290,0.389390,0.331028
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.836088,2568489375.625262,0.389334,0.329644
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.823822,2606733478.236665,0.383622,0.355334
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.835737,2569567589.146964,0.389171,0.332451
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.841760,2551183342.308641,0.391975,0.337172
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.806329,2663286128.238929,0.375476,0.344152
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.830862,2584646352.864260,0.386900,0.336661
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.846034,2538294196.096447,0.393965,0.320735
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.833904,2575216329.265856,0.388317,0.333822
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.812787,2642122567.450947,0.378484,0.339761
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.840585,2554748328.934020,0.391428,0.329201
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.823320,2608322724.692239,0.383388,0.327469
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.830588,2585498002.832084,0.386773,0.322209
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.822801,2609968699.758560,0.383146,0.324613
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.869755,2469066094.526814,0.405011,0.337022
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,32,1,67108864,-1,0.863030,2488307686.404128,0.401880,0.334444
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.808467,2656241428.595846,0.376472,0.354158
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.858870,2500358846.367209,0.399943,0.367282
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.856229,2508070885.102998,0.398713,0.370351
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.808466,2656244236.057168,0.376471,0.344303
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.822498,2610927212.107913,0.383006,0.342676
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.789355,2720554590.820205,0.367572,0.380032
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.810496,2649590410.430046,0.377417,0.404808
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.801688,2678701517.193977,0.373315,0.368110
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.881791,2435365086.937683,0.410616,0.364475
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.797123,2694044091.445229,0.371189,0.381700
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.809831,2651768670.362201,0.377107,0.384784
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.835669,2569779286.371717,0.389138,0.370421
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.931597,2305162745.286665,0.433809,0.382005
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.820262,2618046507.993574,0.381964,0.368029
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.791608,2712811637.828981,0.368621,0.349820
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,64,1,67108864,-1,0.796221,2697095140.959139,0.370769,0.373494
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,128,1,67108864,-1,0.843082,2547183246.397338,0.392591,0.395114
NVIDIA TITAN RTX,[GPU] RTX_blocks,32,128,1,67108864,-1,0.749743,2864293334.338886,0.349126,0.398661
