#timestep       power           acc-energy      avg-power       dt              acc-time       
1               67.746790       33.928574       67.746585       0.500816        0.500816       
2               58.888841       63.768143       63.299850       0.506582        1.007398       
3               565.956830      346.907349      230.073496      0.500413        1.507811       
4               534.630006      614.306656      305.933114      0.500166        2.007977       
5               567.703428      898.232956      358.131119      0.500135        2.508112       
6               565.558181      1181.096436     392.618457      0.500143        3.008255       
7               516.932132      1439.630249     410.340105      0.500128        3.508383       
8               567.799173      1723.604813     429.984369      0.500146        4.008529       
9               577.708640      2012.557175     446.372932      0.500161        4.508690       
10              549.117018      2287.198318     456.632247      0.500151        5.008841       
11              554.115958      2564.332184     465.482210      0.500139        5.508980       
12              557.073781      2842.933441     473.105249      0.500113        6.009093       
13              575.458060      3130.732422     480.969497      0.500119        6.509212       
14              588.192116      3424.912262     488.619965      0.500146        7.009358       
15              577.414066      3713.715179     494.534229      0.500163        7.509521       
16              522.116276      3974.838028     496.256268      0.500127        8.009648       
17              541.247344      4245.528046     498.900739      0.500117        8.509765       
18              585.928558      4538.579849     503.731370      0.500156        9.009921       
19              584.238564      4830.769516     507.965055      0.500122        9.510043       
20              539.702073      5100.683182     509.550869      0.500112        10.010155      
21              582.289188      5391.898804     513.012006      0.500123        10.510278      
22              584.773259      5684.355606     516.271583      0.500120        11.010398      
23              576.020073      5972.434189     518.867588      0.500119        11.510517      
24              501.014981      6223.003601     518.124489      0.500117        12.010634      
25              482.316973      6464.233963     516.692377      0.500164        12.510798      
26              478.296937      6703.446045     515.216478      0.500133        13.010931      
27              485.483368      6946.247696     514.116129      0.500117        13.511048      
28              495.989602      7194.329559     513.469284      0.500169        14.011217      
29              487.515956      7438.182083     512.574519      0.500199        14.511416      
30              526.927757      7701.707870     513.052688      0.500118        15.011534      
31              585.658511      7994.604477     515.393591      0.500115        15.511649      
32              589.890429      8289.614304     517.720499      0.500107        16.011756      
33              587.472971      8583.420624     519.832873      0.500129        16.511885      
34              586.295283      8876.632172     521.786698      0.500109        17.011994      
35              594.408112      9173.902802     523.860625      0.500112        17.512106      
36              593.368815      9470.657227     525.790553      0.500118        18.012224      
37              593.559752      9767.507736     527.621368      0.500119        18.512343      
38              591.296771      10063.226486    529.296337      0.500119        19.012462      
39              532.606548      10329.602219    529.381400      0.500128        19.512590      
40              578.783460      10619.064285    530.616087      0.500117        20.012707      
41              535.358221      10886.826889    530.731582      0.500161        20.512868      
42              592.829092      11183.306946    532.209521      0.500110        21.012978      
43              587.138358      11476.977142    533.486744      0.500166        21.513144      
44              591.767244      11772.938217    534.810505      0.500145        22.013289      
45              531.754058      12038.886261    534.742786      0.500126        22.513415      
46              592.718479      12335.310699    536.002664      0.500110        23.013525      
47              593.965976      12632.353378    537.235447      0.500101        23.513626      
48              590.437366      12927.641190    538.343694      0.500106        24.013732      
49              582.820700      13219.125183    539.250694      0.500145        24.513877      
50              588.068855      13513.224594    540.226738      0.500110        25.013987      
51              594.604696      13810.595322    541.292628      0.500115        25.514102      
52              596.204173      14108.832520    542.348800      0.500213        26.014315      
53              541.080800      14379.468918    542.324602      0.500191        26.514506      
54              471.745624      14615.397186    541.018116      0.500111        27.014617      
55              495.343804      14863.126053    540.187927      0.500115        27.514732      
56              492.369831      15109.369812    539.334311      0.500118        28.014850      
57              493.114809      15355.992081    538.523760      0.500126        28.514976      
58              522.433816      15617.284439    538.246159      0.500158        29.015134      
59              584.821372      15909.760040    539.035337      0.500111        29.515245      
60              564.351096      16192.001617    539.457149      0.500117        30.015362      
61              586.631896      16485.385910    540.230302      0.500116        30.515478      
62              588.942407      16779.924545    541.015758      0.500115        31.015593      
63              582.593255      17071.312378    541.675759      0.500147        31.515740      
64              541.849090      17342.306839    541.678535      0.500125        32.015865      
65              589.917299      17637.344193    542.420276      0.500147        32.516012      
66              590.037926      17932.432190    543.141572      0.500117        33.016129      
67              589.019035      18227.010330    543.826146      0.500116        33.516245      
68              533.458288      18493.802155    543.673707      0.500118        34.016363      
69              546.885503      18767.307251    543.720243      0.500114        34.516477      
70              591.611854      19063.181213    544.404242      0.500115        35.016592      
71              590.482771      19358.489914    545.053078      0.500114        35.516706      
72              581.814822      19649.464233    545.563536      0.500115        36.016821      
73              588.052903      19943.558899    546.145447      0.500116        36.516937      
74              543.400353      20215.317490    546.108353      0.500108        37.017045      
75              589.318476      20510.041260    546.684358      0.500109        37.517154      
76              580.465890      20800.340378    547.128752      0.500114        38.017268      
77              587.803805      21094.306351    547.656876      0.500109        38.517377      
78              490.061315      21339.399246    546.918615      0.500127        39.017504      
79              497.993609      21588.454071    546.299450      0.500116        39.517620      
80              503.957728      21840.502258    545.770357      0.500131        40.017751      
81              503.446180      22092.284500    545.247937      0.500118        40.517869      
82              485.245058      22334.964767    544.516368      0.500117        41.017986      
83              570.182518      22620.184875    544.825550      0.500230        41.518216      
84              566.023499      22903.272476    545.077890      0.500132        42.018348      
85              589.412861      23198.050491    545.599294      0.500128        42.518476      
86              583.331583      23489.809616    546.037992      0.500160        43.018636      
87              501.575999      23740.661316    545.527025      0.500127        43.518763      
88              558.410250      24019.932892    545.673397      0.500119        44.018882      
89              589.714951      24314.858185    546.168149      0.500115        44.518997      
90              534.033419      24581.952347    546.033422      0.500138        45.019135      
91              574.080296      24869.059097    546.341655      0.500109        45.519244      
92              586.414773      25162.347061    546.776995      0.500152        46.019396      
93              592.188151      25458.509537    547.265201      0.500115        46.519511      
94              582.704552      25749.930283    547.642152      0.500117        47.019628      
95              591.651990      26045.826385    548.105325      0.500119        47.519747      
96              591.209100      26341.500107    548.554242      0.500117        48.019864      
97              596.340027      26639.735718    549.046785      0.500110        48.519974      
98              596.851914      26938.231506    549.534506      0.500117        49.020091      
99              594.603916      27235.598572    549.989661      0.500110        49.520201      
100             597.051731      27534.195190    550.460208      0.500118        50.020319      
101             594.825959      27831.677170    550.899397      0.500116        50.520435      
102             598.926727      28131.204315    551.370158      0.500107        51.020542      
103             591.549744      28427.045441    551.760182      0.500112        51.520654      
104             597.651450      28725.936310    552.201364      0.500109        52.020763      
105             598.024656      29025.008743    552.637696      0.500100        52.520863      
106             597.849574      29323.990326    553.064136      0.500095        53.020958      
107             600.282064      29624.190186    553.505338      0.500098        53.521056      
108             599.023782      29923.774612    553.926814      0.500114        54.021170      
109             598.847425      30223.263000    554.338858      0.500108        54.521278      
110             598.611913      30522.628220    554.741264      0.500099        55.021377      
111             598.656240      30822.015289    555.136794      0.500101        55.521478      
112             598.248771      31121.198318    555.521670      0.500096        56.021574      
113             598.846009      31420.680313    555.905004      0.500098        56.521672      
114             599.091061      31720.288483    556.283808      0.500100        57.021772      
115             598.282658      32019.501221    556.648851      0.500131        57.521903      
116             599.110422      32319.121735    557.014840      0.500109        58.022012      
117             599.418529      32618.891541    557.377201      0.500101        58.522113      
118             598.822953      32918.372223    557.728447      0.500109        59.022222      
119             599.076091      33217.972000    558.075886      0.500099        59.522321      
120             598.824379      33517.450882    558.415306      0.500122        60.022443      
121             598.900262      33816.961502    558.749835      0.500101        60.522544      
122             599.134377      34116.597626    559.080856      0.500110        61.022654      
123             591.161903      34412.247803    559.341725      0.500108        61.522762      
124             597.893556      34711.272812    559.652465      0.500145        62.022907      
125             598.319521      35010.491806    559.961749      0.500099        62.523006      
126             598.498118      35309.801010    560.267538      0.500101        63.023107      
127             598.642239      35609.182297    560.569656      0.500100        63.523207      
128             600.030140      35909.255569    560.877889      0.500097        64.023304      
129             598.885698      36208.780762    561.172492      0.500138        64.523442      
130             598.149205      36507.912491    561.456884      0.500095        65.023537      
131             598.793334      36807.366043    561.741847      0.500095        65.523632      
132             598.871787      37106.860626    562.023088      0.500098        66.023730      
133             594.359071      37404.102570    562.266180      0.500105        66.523835      
134             598.756181      37703.544128    562.538454      0.500106        67.023941      
135             598.350107      38002.777222    562.803682      0.500097        67.524038      
136             597.962017      38301.817429    563.062159      0.500099        68.024137      
137             598.793048      38601.273529    563.322924      0.500100        68.524237      
138             598.650348      38900.659470    563.578885      0.500101        69.024338      
139             599.741710      39200.586700    563.839007      0.500094        69.524432      
140             598.913054      39500.100723    564.089496      0.500096        70.024528      
141             598.240362      39799.278336    564.331663      0.500096        70.524624      
142             598.915182      40098.796417    564.575173      0.500101        71.024725      
143             591.818404      40394.772202    564.765666      0.500112        71.524837      
144             597.339012      40693.506516    564.991837      0.500109        72.024946      
145             597.477733      40992.305130    565.215845      0.500100        72.525046      
146             597.756915      41291.239777    565.438694      0.500094        73.025140      
147             598.372112      41590.483276    565.662697      0.500096        73.525236      
148             597.848337      41889.466934    565.880140      0.500099        74.025335      
149             598.848147      42188.950287    566.101362      0.500100        74.525435      
150             599.499088      42488.758286    566.323985      0.500097        75.025532      
151             599.601024      42788.616959    566.544331      0.500097        75.525629      
152             598.789718      43088.067505    566.756439      0.500093        76.025722      
153             598.884549      43387.565475    566.966395      0.500093        76.525815      
154             598.645734      43686.946411    567.172076      0.500097        77.025912      
155             599.146674      43986.577866    567.378334      0.500097        77.526009      
156             599.597737      44286.435791    567.584837      0.500099        78.026108      
