#timestep       power           acc-energy      avg-power       dt              acc-time       
1               120.894000      12.107776       120.894000      0.100152        0.100152       
2               88.927000       21.083534       104.848342      0.100934        0.201086       
3               81.578000       29.303904       97.080049       0.100767        0.301853       
4               81.355000       37.504244       93.143534       0.100797        0.402650       
5               81.747000       46.139180       90.775123       0.105630        0.508280       
6               81.316000       54.334450       89.209901       0.100783        0.609063       
7               81.369000       62.536038       88.096547       0.100795        0.709858       
8               81.330000       70.731662       87.255390       0.100770        0.810628       
9               81.518000       78.956258       86.620339       0.100893        0.911521       
10              81.535000       87.172132       86.114134       0.100765        1.012286       
11              172.711000      104.590900      93.960154       0.100855        1.113141       
12              234.429000      128.228142      105.627109      0.100829        1.213970       
13              234.574000      151.868744      115.511412      0.100781        1.314751       
14              234.659000      175.528238      123.997749      0.100825        1.415576       
15              234.501000      199.172739      131.345346      0.100829        1.516405       
16              234.560000      222.827177      137.781443      0.100846        1.617251       
17              234.589000      246.485947      143.464010      0.100852        1.718103       
18              234.466000      270.120588      148.507255      0.100802        1.818905       
19              234.729000      293.784088      153.035103      0.100812        1.919717       
20              234.775000      317.454339      157.113768      0.100821        2.020538       
21              234.738000      341.123910      160.803438      0.100834        2.121372       
22              234.848000      364.789308      164.161189      0.100769        2.222141       
23              234.755000      389.697283      167.378269      0.106102        2.328243       
24              234.952000      420.932742      171.028346      0.132944        2.461187       
25              234.907000      447.040306      173.788288      0.111140        2.572327       
26              234.937000      470.716552      176.093617      0.100777        2.673104       
27              234.751000      494.382974      178.225454      0.100815        2.773919       
28              234.884000      518.074079      180.213345      0.100863        2.874782       
29              234.845000      541.754909      182.064670      0.100836        2.975618       
30              234.790000      565.433011      183.793031      0.100848        3.076466       
31              234.701000      589.103311      185.408928      0.100853        3.177319       
32              234.940000      612.793486      186.932489      0.100835        3.278154       
33              235.010000      636.491660      188.367262      0.100839        3.378993       
34              235.119000      660.205057      189.722274      0.100857        3.479850       
35              235.059000      683.923685      190.999855      0.100905        3.580755       
36              235.054000      707.638283      192.207093      0.100890        3.681645       
37              235.147000      732.628060      193.411806      0.106273        3.787918       
38              235.185000      756.342704      194.494970      0.100834        3.888752       
39              235.354000      780.069683      195.527454      0.100814        3.989566       
40              235.336000      803.794611      196.508590      0.100813        4.090379       
41              235.365000      827.528347      197.443451      0.100838        4.191217       
42              235.323000      851.254788      198.333285      0.100825        4.292042       
43              235.238000      874.984657      199.180740      0.100876        4.392918       
44              235.380000      898.713079      199.992808      0.100809        4.493727       
45              235.530000      922.465808      200.772826      0.100848        4.594575       
46              235.321000      946.231347      201.515887      0.100992        4.695567       
47              235.481000      969.971128      202.229791      0.100814        4.796381       
48              235.648000      993.729395      202.917788      0.100821        4.897202       
49              235.695000      1017.484859     203.578770      0.100789        4.997991       
50              235.590000      1041.233744     204.211649      0.100806        5.098797       
51              235.645000      1064.994772     204.821221      0.100834        5.199631       
52              235.615000      1088.748534     205.406928      0.100816        5.300447       
53              235.493000      1112.489761     205.968487      0.100815        5.401262       
54              235.479000      1137.404381     206.535455      0.105804        5.507066       
55              235.539000      1161.153778     207.056939      0.100830        5.607896       
56              235.375000      1184.910883     207.557607      0.100933        5.708829       
57              235.356000      1208.644418     208.040115      0.100841        5.809670       
58              235.290000      1232.359061     208.504798      0.100789        5.910459       
59              235.371000      1256.088930     208.955389      0.100819        6.011278       
60              235.486000      1279.829922     209.393002      0.100817        6.112095       
61              112.300000      1291.145720     207.818288      0.100764        6.212859       
62              82.922000       1299.503428     205.824465      0.100790        6.313649       
63              82.804000       1307.847256     203.891899      0.100766        6.414415       
64              82.851000       1316.194494     202.020132      0.100750        6.515165       
65              82.816000       1324.539200     200.204627      0.100762        6.615927       
66              82.646000       1332.865206     198.441371      0.100743        6.716670       
67              82.712000       1341.197861     196.731203      0.100743        6.817413       
68              82.629000       1349.520088     195.070040      0.100718        6.918131       
69              82.648000       1357.846131     193.456460      0.100741        7.018872       
70              82.562000       1366.165986     191.886867      0.100771        7.119643       
