#timestep       power           acc-energy      avg-power       dt              acc-time       
1               74.659000       7.474859        74.659000       0.100120        0.100120       
2               76.956000       15.236641       75.811729       0.100860        0.200980       
3               77.059000       23.004497       76.228351       0.100804        0.301784       
4               75.558000       30.623236       76.060466       0.100833        0.402617       
5               76.012000       38.286006       76.050761       0.100810        0.503427       
6               76.222000       45.969489       76.079328       0.100804        0.604231       
7               75.961000       53.625902       76.062412       0.100794        0.705025       
8               76.310000       61.319171       76.093387       0.100816        0.805841       
9               76.380000       69.020184       76.125259       0.100825        0.906666       
10              76.476000       76.730112       76.160357       0.100815        1.007481       
11              125.423000      89.377767       80.642492       0.100840        1.108321       
12              256.047000      115.198059      95.270910       0.100842        1.209163       
13              257.325000      141.155461      107.749217      0.100874        1.310037       
14              257.982000      168.448409      118.974940      0.105794        1.415831       
15              258.075000      194.479660      128.225698      0.100867        1.516698       
16              258.303000      220.526418      136.334782      0.100838        1.617536       
17              258.342000      246.586667      143.496909      0.100875        1.718411       
18              258.159000      272.619421      149.852560      0.100840        1.819251       
19              258.694000      298.714143      155.570398      0.100871        1.920122       
20              258.637000      324.787598      160.711710      0.100811        2.020933       
21              258.460000      350.822532      165.352540      0.100731        2.121664       
22              258.655000      376.886679      169.582997      0.100768        2.222432       
23              258.590000      402.958240      173.445624      0.100822        2.323254       
24              258.845000      429.094337      177.002613      0.100972        2.424226       
25              258.945000      455.202208      180.274532      0.100824        2.525050       
26              258.903000      481.312317      183.294299      0.100849        2.625899       
27              258.819000      507.409036      186.087080      0.100830        2.726729       
28              259.028000      533.554805      188.690820      0.100938        2.827667       
29              259.194000      559.683633      191.117777      0.100808        2.928475       
30              259.254000      585.810214      193.384508      0.100776        3.029251       
31              259.100000      613.502304      195.624065      0.106878        3.136129       
32              259.335000      639.649756      197.608541      0.100825        3.236954       
33              259.528000      665.814071      199.478775      0.100815        3.337769       
34              259.377000      691.963423      201.234933      0.100816        3.438585       
35              259.545000      718.101421      202.894088      0.100707        3.539292       
36              259.503000      744.251798      204.461241      0.100771        3.640063       
37              259.806000      770.442841      205.952686      0.100810        3.740873       
38              259.580000      796.616292      207.360197      0.100830        3.841703       
39              259.440000      822.782373      208.692469      0.100856        3.942559       
40              259.549000      848.960485      209.961047      0.100860        4.043419       
41              259.806000      875.154905      211.173697      0.100823        4.144242       
42              259.539000      901.324482      212.322493      0.100831        4.245073       
43              259.600000      927.621962      213.424380      0.101300        4.346373       
44              260.182000      953.854292      214.484428      0.100823        4.447196       
45              260.168000      980.089373      215.497324      0.100839        4.548035       
46              260.383000      1006.341447     216.470772      0.100821        4.648856       
47              260.427000      1033.937334     217.450363      0.105964        4.754820       
48              260.422000      1060.196986     218.342734      0.100835        4.855655       
49              260.331000      1086.449285     219.197002      0.100842        4.956497       
50              260.483000      1112.719256     220.020306      0.100851        5.057348       
51              260.207000      1138.961392     220.806020      0.100851        5.158199       
52              260.656000      1165.249071     221.570217      0.100852        5.259051       
53              260.752000      1196.016764     222.430037      0.117996        5.377047       
54              260.815000      1222.319435     223.136704      0.100848        5.477895       
55              260.976000      1248.623206     223.820346      0.100790        5.578685       
56              261.147000      1274.924887     224.482280      0.100716        5.679401       
57              260.956000      1301.233427     225.118439      0.100816        5.780217       
58              260.655000      1327.516574     225.727740      0.100835        5.881052       
59              260.788000      1353.820174     226.318896      0.100862        5.981914       
60              260.808000      1380.119792     226.890652      0.100839        6.082753       
61              260.990000      1406.437762     227.446727      0.100839        6.183592       
62              261.043000      1432.760033     227.985787      0.100835        6.284427       
63              261.159000      1459.097396     228.509719      0.100848        6.385275       
64              261.152000      1485.459385     229.017731      0.100945        6.486220       
65              260.774000      1511.737841     229.503553      0.100771        6.586991       
66              260.691000      1538.009759     229.973517      0.100778        6.687769       
67              260.895000      1564.301974     230.432551      0.100777        6.788546       
68              260.818000      1591.944770     230.899646      0.105985        6.894531       
69              261.265000      1618.289688     231.337353      0.100836        6.995367       
70              261.160000      1644.635770     231.761315      0.100881        7.096248       
71              261.040000      1670.952517     232.171445      0.100815        7.197063       
72              261.405000      1697.303187     232.575242      0.100804        7.297867       
73              261.362000      1723.662067     232.967635      0.100852        7.398719       
74              261.377000      1750.015665     233.349578      0.100826        7.499545       
75              261.371000      1776.368918     233.721312      0.100827        7.600372       
76              261.400000      1802.729279     234.083749      0.100843        7.701215       
77              261.471000      1829.098629     234.437758      0.100850        7.802065       
78              261.467000      1855.469145     234.782702      0.100856        7.902921       
79              261.394000      1881.829945     235.118003      0.100847        8.003768       
80              261.633000      1908.207784     235.447846      0.100820        8.104588       
81              261.565000      1934.580076     235.768763      0.100825        8.205413       
82              262.027000      1960.997114     236.087476      0.100818        8.306231       
83              262.008000      1987.418786     236.398393      0.100843        8.407074       
84              261.692000      2013.815135     236.698268      0.100868        8.507942       
85              261.634000      2041.464616     237.004203      0.105680        8.613622       
86              262.048000      2067.903163     237.294147      0.100892        8.714514       
87              261.819000      2094.299755     237.574635      0.100820        8.815334       
88              261.979000      2120.722433     237.850691      0.100858        8.916192       
89              261.874000      2147.125355     238.119306      0.100823        9.017015       
90              262.098000      2173.565015     238.384598      0.100877        9.117892       
91              261.957000      2199.986260     238.642500      0.100861        9.218753       
92              261.975000      2226.412202     238.895042      0.100872        9.319625       
93              262.023000      2252.834339     239.142609      0.100839        9.420464       
94              262.172000      2279.264947     239.386451      0.100814        9.521278       
95              262.121000      2305.700637     239.624740      0.100853        9.622131       
96              262.403000      2332.158731     239.860957      0.100830        9.722961       
97              262.279000      2358.607732     240.091082      0.100843        9.823804       
98              262.322000      2385.058709     240.316947      0.100834        9.924638       
99              261.902000      2411.485144     240.534190      0.100902        10.025540      
100             262.365000      2437.929700     240.751484      0.100793        10.126333      
101             262.222000      2464.365873     240.963134      0.100816        10.227149      
102             262.803000      2492.393813     241.188532      0.106650        10.333799      
103             262.785000      2519.001057     241.398082      0.101251        10.435050      
104             262.526000      2545.653222     241.601654      0.101522        10.536572      
105             262.787000      2572.159495     241.802537      0.100866        10.637438      
106             262.586000      2598.648908     241.997783      0.100879        10.738317      
107             262.671000      2625.155039     242.190245      0.100910        10.839227      
108             262.782000      2651.666064     242.380135      0.100886        10.940113      
109             262.981000      2678.191116     242.568331      0.100863        11.040976      
110             262.964000      2704.716558     242.752980      0.100871        11.141847      
111             262.947000      2731.235552     242.934131      0.100853        11.242700      
112             262.920000      2757.751560     243.111819      0.100852        11.343552      
113             262.837000      2784.274704     243.285745      0.100911        11.444463      
114             262.662000      2810.765480     243.455007      0.100855        11.545318      
115             263.114000      2837.306315     243.625281      0.100872        11.646190      
116             262.971000      2863.843508     243.791470      0.100913        11.747103      
117             263.158000      2891.707466     243.964472      0.105883        11.852986      
118             263.240000      2918.259959     244.127121      0.100868        11.953854      
119             262.815000      2944.768268     244.283484      0.100863        12.054717      
120             262.706000      2971.262694     244.436332      0.100852        12.155569      
121             262.929000      2997.778032     244.588490      0.100846        12.256415      
122             263.203000      3024.319159     244.740390      0.100839        12.357254      
123             263.205000      3050.861541     244.889853      0.100843        12.458097      
124             263.232000      3077.408488     245.037143      0.100850        12.558947      
125             263.510000      3103.980309     245.184283      0.100838        12.659785      
126             263.439000      3130.577111     245.328710      0.100960        12.760745      
127             263.394000      3157.144610     245.470385      0.100866        12.861611      
128             263.396000      3183.705199     245.609834      0.100839        12.962450      
129             263.574000      3210.300079     245.748589      0.100901        13.063351      
130             263.815000      3236.907669     245.887004      0.100857        13.164208      
131             263.778000      3263.510471     246.023028      0.100853        13.265061      
132             263.686000      3290.095558     246.156262      0.100821        13.365882      
133             263.704000      3316.695908     246.287703      0.100872        13.466754      
134             263.386000      3344.442569     246.420419      0.105346        13.572100      
135             263.562000      3371.020425     246.546842      0.100841        13.672941      
136             263.767000      3397.618689     246.672913      0.100840        13.773781      
137             263.768000      3424.227605     246.797209      0.100880        13.874661      
138             264.057000      3450.894721     246.921930      0.100990        13.975651      
139             263.950000      3477.510911     247.043912      0.100838        14.076489      
140             264.072000      3504.135971     247.165011      0.100825        14.177314      
141             264.026000      3530.754280     247.284065      0.100817        14.278131      
142             263.863000      3557.363280     247.400338      0.100844        14.378975      
143             264.056000      3583.999401     247.516369      0.100873        14.479848      
144             264.077000      3610.635264     247.630929      0.100864        14.580712      
145             264.002000      3637.255377     247.743366      0.100833        14.681545      
146             263.940000      3663.871615     247.853856      0.100842        14.782387      
147             264.021000      3690.484668     247.963351      0.100799        14.883186      
148             264.158000      3717.120511     248.072330      0.100833        14.984019      
149             264.403000      3743.787140     248.181516      0.100856        15.084875      
150             264.393000      3770.467038     248.289241      0.100910        15.185785      
151             264.567000      3798.452935     248.401843      0.105780        15.291565      
152             263.796000      3825.176525     248.503156      0.101304        15.392869      
153             264.265000      3851.835050     248.605779      0.100878        15.493747      
154             264.596000      3878.537549     248.709257      0.100918        15.594665      
155             264.540000      3905.220376     248.810991      0.100865        15.695530      
156             264.529000      3931.909765     248.911384      0.100894        15.796424      
157             264.237000      3958.558331     249.008609      0.100851        15.897275      
158             264.521000      3985.239506     249.106412      0.100866        15.998141      
159             264.573000      4011.944446     249.203383      0.100936        16.099077      
160             264.214000      4038.605488     249.296881      0.100907        16.199984      
161             264.471000      4065.284529     249.390786      0.100877        16.300861      
162             264.290000      4091.945576     249.482422      0.100878        16.401739      
163             264.760000      4118.647152     249.575788      0.100852        16.502591      
164             264.859000      4145.354739     249.668607      0.100837        16.603428      
165             264.675000      4172.047742     249.759208      0.100852        16.704280      
166             264.735000      4198.751561     249.849098      0.100870        16.805150      
167             264.631000      4226.879984     249.942006      0.106293        16.911443      
168             264.613000      4253.665964     250.029300      0.101227        17.012670      
169             264.807000      4280.379165     250.116409      0.100878        17.113548      
170             264.810000      4307.084194     250.202487      0.100846        17.214394      
171             264.659000      4333.789610     250.286733      0.100905        17.315299      
172             264.671000      4360.478240     250.370015      0.100837        17.416136      
173             264.842000      4387.188350     250.453337      0.100853        17.516989      
174             264.628000      4413.876084     250.534477      0.100850        17.617839      
175             264.485000      4440.561563     250.613916      0.100896        17.718735      
176             264.795000      4467.258459     250.694151      0.100821        17.819556      
177             265.001000      4493.998915     250.774710      0.100907        17.920463      
178             265.016000      4520.730284     250.854420      0.100867        18.021330      
179             264.972000      4547.458540     250.933001      0.100872        18.122202      
180             265.082000      4574.184107     251.011282      0.100820        18.223022      
181             264.773000      4600.872696     251.086984      0.100798        18.323820      
182             264.829000      4627.566664     251.162163      0.100797        18.424617      
183             265.131000      4655.959543     251.242886      0.107090        18.531707      
184             264.872000      4682.796374     251.316996      0.101320        18.633027      
185             264.834000      4709.556791     251.389903      0.101046        18.734073      
186             265.014000      4736.290343     251.462871      0.100876        18.834949      
187             264.782000      4763.005523     251.533838      0.100895        18.935844      
188             264.767000      4789.712305     251.603956      0.100869        19.036713      
189             264.909000      4816.441094     251.674104      0.100898        19.137611      
190             264.786000      4843.165945     251.742892      0.100930        19.238541      
191             265.060000      4869.905992     251.812360      0.100883        19.339424      
192             264.978000      4896.637768     251.880681      0.100883        19.440307      
