dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-1,0.000479,8354.253742,119699.500501,1708.277466,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-1,0.000480,8328.353921,120071.746409,1722.466309,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-1,0.000466,8591.489583,116394.251585,1712.400269,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,1,-1,0.000545,7341.092788,136219.501495,1949.971558,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-1,0.000449,17830.198427,56084.625423,1691.201538,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-1,0.000469,17068.560323,58587.249368,1712.939087,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-1,0.000466,17178.552070,58212.123811,1708.317627,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,2,-1,0.000469,17042.779790,58675.874025,1719.366699,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-1,0.000535,29890.452821,33455.498517,1749.078613,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-1,0.000470,34009.412040,29403.625056,1710.041870,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-1,0.000467,34293.037587,29160.438105,1691.696777,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,4,-1,0.001758,9100.128260,109888.561070,1725.788086,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-1,0.000522,61325.235085,16306.500882,1712.198242,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-1,0.000490,65365.218207,15298.656188,1710.607300,20.122648,0.000000
CPU AMAX-H100,[CPU] HRMQ,4,67108864,0,8,-1,0.000498,64301.184911,15551.812947,1780.014404,20.122648,0.000000
