dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1,-1,1.514395,1.320660,757197265.625000,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1,-1,1.516129,1.319149,758064453.125000,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2,-1,2.598651,1.539260,649662719.726562,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2,-1,1.303963,3.067571,325990783.691406,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4,-1,1.370392,5.837746,171298995.971680,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4,-1,2.264013,3.533549,283001586.914062,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8,-1,2.207448,7.248190,137965469.360352,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8,-1,2.355607,6.792304,147225448.608398,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16,-1,2.626641,12.182862,82082519.531250,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16,-1,2.541987,12.588578,79437088.012695,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32,-1,2.608122,24.538733,40751899.719238,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32,-1,2.581198,24.794686,40331222.534180,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,64,-1,2.667960,47.976728,20843439.102173,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,64,-1,2.608273,49.074609,20377136.230469,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,128,-1,2.745941,93.228525,10726330.757141,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,128,-1,2.651417,96.552146,10357097.625732,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,256,-1,2.997483,170.809967,5854459.285736,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,256,-1,2.919086,175.397371,5701339.721680,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,512,-1,5.166355,198.205505,5045268.535614,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,512,-1,5.213700,196.405616,5091504.096985,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1024,-1,11.830729,173.108514,5776723.384857,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1024,-1,11.912423,171.921365,5816612.720490,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2048,-1,11.990793,341.595423,2927439.689636,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,2048,-1,11.679530,350.699035,2851447.820663,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4096,-1,11.791543,694.735203,1439397.335052,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,4096,-1,11.925488,686.932041,1455748.081207,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8192,-1,12.186710,1344.415355,743817.746639,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,8192,-1,12.086986,1355.507449,737731.099129,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16384,-1,13.733402,2386.007428,419110.178947,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,16384,-1,13.205244,2481.438408,402992.069721,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32768,-1,17.542521,3735.836952,267677.634954,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,32768,-1,17.673566,3708.136688,269677.221775,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,65536,-1,31.818621,4119.348843,242756.813765,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,65536,-1,31.789596,4123.110002,242535.367608,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,131072,-1,59.467352,4408.200350,226849.943399,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,131072,-1,60.163648,4357.182565,229506.105185,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,262144,-1,128.075836,4093.574687,244285.270572,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,262144,-1,130.871688,4006.122409,249617.934227,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,524288,-1,252.050484,4160.182444,240374.073386,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,524288,-1,254.221719,4124.651525,242444.723845,0.000000,268.435456,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,2,67108864,0,1048576,-1,550.280313,3811.061294,262394.100428,0.000000,268.435456,0.000000
