dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbuffer
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000190,168011.629075,5951.968953,161.708099,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000188,169821.628442,5888.531450,160.640488,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000189,169337.259622,5905.374885,164.951920,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000193,165629.752096,6037.562620,162.648834,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000186,172058.734529,5811.968818,161.664871,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000186,171791.792682,5820.999853,161.748856,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000187,170791.459455,5855.093710,162.704575,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000185,173327.118100,5769.437645,160.665558,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000187,171367.667882,5835.406482,162.748398,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000185,172951.475688,5781.968590,163.838287,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000186,172281.051218,5804.468878,173.629807,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000188,170200.994679,5875.406321,162.814758,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000196,162913.716597,6138.218567,160.692749,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000185,172886.062186,5784.156267,173.654846,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000190,168161.730296,5946.656223,160.848007,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,1,-1,0.000184,173759.111641,5755.093880,163.849716,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000193,331618.244964,3015.515627,160.747574,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000190,336005.618964,2976.140706,160.690002,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000190,336659.610165,2970.359288,160.838013,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000188,340946.023745,2933.015581,162.862915,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000191,334390.489940,2990.515670,161.739975,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000187,341364.287746,2929.421840,164.000595,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000195,328099.135431,3047.859296,162.001663,1073.741828,0
NVIDIA RTX 6000 Ada Generation,LCA,32,67108864,0,2,-1,0.000189,337975.206674,2958.796918,162.829163,1073.741828,0
